	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_timestamp	trainer/global_step	lr-Adam	_runtime	val_loss	train_loss	_step	epoch	max_val_accuracy	name
210	attentive_lstm	0.8091329429910946	0.9978272786839965		0.4070873118160741	0.00015731125668882665	0.2391684085864108	3	1	adam	reduceonplateau	2	512	1	384	65	True	4.107116004801769e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697092644/version_0	1	112	2	1	0.1912546274076296	True	128	128	65	65	4733800	2	LSTMEncoder	0		min	0.00015731125668882665	1	0.3333333333333333	0	5	loss	0.4070873118160741	4	2	1697093851.86263	9855	4.107116004801769e-05	1196.5161881446838	1.2711236476898191	1.2791913747787476	693	307	1.0	bumbling-sweep-37
211	attentive_lstm	0.8221039075733891	0.9909408688317292		0.644451932792987	0.00048046645658821914	0.0071357758173508645	3	1	adam	warmupinvsqrt	2	1376	1	320	65	True	0.00017419015503830873	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697092027/version_0	1	432	2	1	0.03441463172207653	True	128	128	65	65	399100	1	LSTMEncoder	0		min	0.00048046645658821914	1	0.3333333333333333	2320	5	loss	0.644451932792987	4	1	1697093203.3044364	12971	7.379931355819544e-05	1168.486186504364	0.2889711558818817	0.28903689980506897	621	275	1.0	legendary-sweep-36
212	attentive_lstm	0.804904328227876	0.9851779850521928		0.6695055128154873	0.0002800567324488686	0.12941140405308993	3	1	adam	reduceonplateau	2	832	1	896	65	True	0.009405540986354058	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697091851/version_0	1	224	1	1	0.17258957684296847	True	128	128	65	65	1187200	2	LSTMEncoder	0		min	0.0002800567324488686	1	0.3333333333333333	0	5	loss	0.6695055128154873	4	2	1697094159.9234705	11855	0.0002800567324488686	2301.006545305252	1.171660304069519	1.164426326751709	684	303	0.9990000128746032	driven-sweep-35
213	attentive_lstm	0.9756889338606534	0.9838610444855294		0.3179709657736514	0.0003037038118388814	0.20528888871904416	3	1	adam	reduceonplateau	2	128	1	1792	65	True	6.346651086192402e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697091409/version_0	1	240	2	1	0.06960209678227994	True	128	128	65	65	1199400	1	LSTMEncoder	0		min	0.0003037038118388814	1	0.3333333333333333	0	5	loss	0.3179709657736514	4	1	1697098122.6544096	16127	6.346651086192402e-06	6704.968516588211	0.5356780290603638	0.5369073748588562	576	255	1.0	balmy-sweep-34
214	attentive_lstm	0.9446372447399708	0.989529749950562		0.8007817570183436	0.0006749812539999032	0.07353796377669014	3	1	adam	reduceonplateau	2	544	1	256	65	True	0.003017310428685165	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697090750/version_0	1	160	2	1	0.05132164411546902	True	128	128	65	65	3212600	4	LSTMEncoder	0		min	0.0006749812539999032	1	0.3333333333333333	0	5	loss	0.8007817570183436	4	4	1697092626.6034842	20295	0.0006749812539999032	1866.767102241516	0.410334587097168	0.411211758852005	774	343	1.0	golden-sweep-33
215	attentive_lstm	0.9594655516673072	0.9930983540585668		0.13754634000351942	0.0003802338592345099	0.415498418847427	3	1	adam	reduceonplateau	2	1280	1	1344	65	True	0.00030580279547513117	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697090465/version_0	1	240	1	1	0.17005999499929972	True	128	128	65	65	4384200	2	LSTMEncoder	0		min	0.0003802338592345099	1	0.3333333333333333	0	5	loss	0.13754634000351942	4	2	1697093281.7639723	6655	0.00030580279547513117	2807.0280792713165	1.148422360420227	1.1514215469360352	468	207	1.0	stoic-sweep-32
216	attentive_lstm	0.937584781283166	0.9873703486340346		0.18701772793196467	0.0003519783380668488	0.30546553727290016	3	1	adam	None	2	944	1	832	65	True	7.79999941084398e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697088510/version_0	1	496	1	1	0.11074839226000811	True	128	128	65	65	206000	1	LSTMEncoder	0		min	0.0003519783380668488	1	0.3333333333333333	0	5	loss	0.18701772793196467	4	1	1697090729.6681702	10607	7.79999941084398e-06	2207.7819073200226	0.8023340106010437	0.8023863434791565	702	311	1.0	fragrant-sweep-31
217	attentive_lstm	0.8361930965486184	0.9962073233670494		0.1998907990055976	0.0008625262104477651	0.13788833874155793	3	1	adam	None	2	368	1	1024	65	True	6.926195137178431e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697088102/version_0	1	32	1	1	0.18002051806920527	True	128	128	65	65	3993200	5	LSTMEncoder	0		min	0.0008625262104477651	1	0.3333333333333333	0	5	loss	0.1998907990055976	4	5	1697093542.1706047	24991	6.926195137178431e-06	5432.550774812698	1.2141398191452026	1.2273306846618652	1278	567	1.0	vague-sweep-30
218	attentive_lstm	0.9161493439191134	0.9925335106892964		0.6844205143401998	0.0006399308255701937	0.13545328277893892	3	1	adam	None	2	1728	1	1600	65	True	6.673963062050617e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697087735/version_0	1	352	1	1	0.12306439972159466	True	128	128	65	65	1276400	1	LSTMEncoder	0		min	0.0006399308255701937	1	0.3333333333333333	0	5	loss	0.6844205143401998	4	1	1697091831.4687612	8359	6.673963062050617e-05	4088.7582552433014	0.8794397115707397	0.8775174021720886	495	219	1.0	lively-sweep-29
219	attentive_lstm	0.9490174248684992	0.9896143381136812		0.8481990012400255	0.0005879722516604258	0.4582455787584429	3	1	adam	reduceonplateau	2	1840	1	1792	65	True	2.029735620575277e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-geo/attentive_lstm/1697087515/version_0	1	400	2	1	0.1395752240537126	True	128	128	65	65	49300	5	LSTMEncoder	0		min	0.0005879722516604258	1	0.3333333333333333	0	5	loss	0.8481990012400255	4	5	1697093820.1253312	9099	2.029735620575277e-05	6292.783157110214	0.9740172624588012	0.9748440980911256	585	259	1.0	avid-sweep-28
