	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
167	transformer	0.9188182692580852	0.9863636887067556		0.5247494408984311	0.000797645749311338	0.0674205548991656	3	1	adam	None	2	352	1	1344	55	True	0.000715275103862648	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697197182/version_0	2	272	4	4	0.05891496861852852	True	128	128	55	55	4167600	3	TransformerEncoder	0		min	0.000797645749311338	1	0.3333333333333333	0	5	loss	0.5247494408984311	4	3	679	0.7803604602813721	1697199428.5527167	0.4535854756832123	31279	1530	0.000715275103862648	2237.613593816757	0.8830000162124634	distinctive-sweep-53
168	transformer	0.8340123790652113	0.9816720210175393		0.5049685370364477	0.0002367066823367965	0.15829358766214852	3	1	adam	reduceonplateau	2	336	1	1664	55	True	0.0008157455915174069	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697197008/version_0	4	64	4	8	0.005737000042729191	True	128	128	55	55	355800	5	TransformerEncoder	0		min	0.0002367066823367965	1	0.3333333333333333	0	5	loss	0.5049685370364477	4	5	355	0.5622084140777588	1697199169.6932316	0.06611906737089157	17087	801	0.0002367066823367965	2150.037865638733	0.8799999952316284	royal-sweep-52
169	transformer	0.917210955228984	0.9898383041552156		0.4724224186403321	6.868845166741872e-05	0.311683442923033	3	1	adam	None	2	1872	1	640	55	True	3.1215249902093475e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697196891/version_0	8	16	2	8	0.18860079045990247	True	128	128	55	55	3964500	2	TransformerEncoder	0		min	6.868845166741872e-05	1	0.3333333333333333	0	5	loss	0.4724224186403321	4	2	203	3.6339786052703857	1697197954.8941746	3.202725410461426	7139	459	3.1215249902093475e-06	1056.696922540665	0.0	classic-sweep-51
170	transformer	0.978804574352268	0.9883224913224516		0.7816148901056754	0.0002744101895033888	0.19444272991709496	3	1	adam	None	2	336	1	1152	55	True	9.215118390739762e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697196833/version_0	2	448	2	2	0.03844310843947767	True	128	128	55	55	1555500	5	TransformerEncoder	0		min	0.0002744101895033888	1	0.3333333333333333	0	5	loss	0.7816148901056754	4	5	471	0.6578007340431213	1697198691.1189065	0.3292824327945709	22655	1062	9.215118390739762e-05	1847.5613071918488	0.8899999856948853	treasured-sweep-50
171	transformer	0.981664125480904	0.9937812175968208		0.6509063849375917	0.0005708573304255243	0.20819346578614595	3	1	adam	reduceonplateau	2	1088	1	1280	55	True	5.3678669363567425e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697196774/version_0	2	400	8	4	0.07813285034072309	True	128	128	55	55	1403000	1	TransformerEncoder	0		min	0.0005708573304255243	1	0.3333333333333333	0	5	loss	0.6509063849375917	4	1	423	0.9096344709396362	1697199019.138266	0.5816323161125183	25015	954	5.3678669363567425e-05	2237.997529029846	0.8820000290870667	stoic-sweep-49
172	transformer	0.9848747377675664	0.9848172867019478		0.6089966862824515	0.0006735298605607223	0.3196840504088284	3	1	adam	reduceonplateau	2	1520	1	192	55	True	0.000757757034679857	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697196680/version_0	4	240	8	8	0.13243059633190887	True	128	128	55	55	4884700	4	TransformerEncoder	0		min	0.0006735298605607223	1	0.3333333333333333	0	5	loss	0.6089966862824515	4	4	571	1.1733311414718628	1697199514.208469	0.9172691106796264	24595	1287	0.0006735298605607223	2825.111090660095	0.9020000100135804	proud-sweep-48
173	transformer	0.9965858058249092	0.9911966398396904		0.7440283313778998	0.0006825660303615106	0.2847042871716346	3	1	adam	reduceonplateau	2	1632	1	1152	55	True	3.456412670485068e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697196136/version_0	8	352	6	8	0.061234622841077814	True	128	128	55	55	1560400	4	TransformerEncoder	0		min	0.0006825660303615106	1	0.3333333333333333	0	5	loss	0.7440283313778998	4	4	699	0.7957760691642761	1697202312.1301758	0.4739289879798889	27999	1575	3.456412670485068e-05	6165.913182735443	0.8759999871253967	dazzling-sweep-47
174	transformer	0.9142715604761033	0.9924210609571154		0.24033439704017048	0.0006012774129302535	0.34674999377381766	3	1	adam	None	2	1200	1	2048	55	True	1.946957207796163e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697196112/version_0	8	192	8	2	0.003503618016706933	True	128	128	55	55	3528100	3	TransformerEncoder	0		min	0.0006012774129302535	1	0.3333333333333333	0	5	loss	0.24033439704017048	4	3	799	0.5006815195083618	1697201760.2503974	0.08097991347312927	27199	1800	1.946957207796163e-05	5639.586909532547	0.8650000095367432	atomic-sweep-46
175	transformer	0.9704064264305412	0.986088038616372		0.7262156643838845	0.00023990273344547344	0.30760935298495445	3	1	adam	None	2	1024	1	1920	55	True	0.00043513046934169554	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195995/version_0	6	176	8	2	0.051927885213423536	True	128	128	55	55	2090300	2	TransformerEncoder	0		min	0.00023990273344547344	1	0.3333333333333333	0	5	loss	0.7262156643838845	4	2	531	0.7221380472183228	1697198448.8033068	0.4138943552970886	17023	1197	0.00043513046934169554	2445.207948923111	0.8999999761581421	divine-sweep-45
176	transformer	0.8941426214954546	0.991902473994544		0.1262813412742129	0.00040164882574199296	0.183204569030908	3	1	adam	reduceonplateau	2	1840	1	1088	55	True	6.755732937397474e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/transformer/1697195980/version_0	8	240	4	8	0.11655518240819585	True	128	128	55	55	122800	5	TransformerEncoder	0		min	0.00040164882574199296	1	0.3333333333333333	0	5	loss	0.1262813412742129	4	5	799	1.1051177978515625	1697202049.2184484	0.8579404950141907	27999	1800	6.755732937397474e-06	6057.628242492676	0.8529999852180481	dashing-sweep-44
