	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	lr-Adam	train_loss	_step	_runtime	val_loss	_timestamp	trainer/global_step	epoch	max_val_accuracy	name
0	transformer	0.9752548542133116	0.99302552603324		0.5838627409889874	0.0006900803040059968	0.05097177372687611	3	1	adam	reduceonplateau	2	1760	1	320	34	True	6.211430863610378e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696698322/version_0	2	128	6	4	0.035062759755531504	True	128	128	67	34	3511300	3	TransformerEncoder	33		min	0.0006900803040059968	1	0.3333333333333333	0	5	loss	0.5838627409889874	4	3	6.211430863610378e-06	0.30030789971351624	1800	1808.6323993206024	0.593416690826416	1696700137.4790883	25599	799	0.9200000166893004	astral-sweep-223
1	transformer	0.9920260188753366	0.9936859481032316		0.8332825805643552	0.00032172450426594845	0.4775257819962277	3	1	adam	reduceonplateau	2	512	1	1472	34	True	0.006421046273267428	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696698173/version_0	8	32	8	2	0.13817841214753104	True	128	128	67	34	2006000	4	TransformerEncoder	33		min	0.00032172450426594845	1	0.3333333333333333	0	5	loss	0.8332825805643552	4	4	0.0017912323408292455	1.4512802362442017	459	652.1767616271973	3.5352067947387695	1696698832.2889807	5507	203	0.0	eternal-sweep-222
2	transformer	0.8964448994815792	0.9861752545501355		0.7830633512568496	0.0005537852344685168	0.4376962674211852	3	1	adam	reduceonplateau	2	288	1	2048	34	True	0.0001121920548468198	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696698052/version_0	4	64	8	8	0.15317715174818058	True	128	128	67	34	2360000	4	TransformerEncoder	33		min	0.0005537852344685168	1	0.3333333333333333	0	5	loss	0.7830633512568496	4	4	0.0001121920548468198	0.972067654132843	1800	2455.7724001407623	1.052364706993103	1696700515.608966	38399	799	0.9800000190734864	ruby-sweep-221
3	transformer	0.9575376849165194	0.9835843678033138		0.11699662821622914	0.00023103943214300004	0.4841314525225071	3	1	adam	None	2	1536	1	1088	34	True	3.940877080891696e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653758/version_0	8	240	8	2	0.0108610636614491	True	128	128	67	34	696500	1	TransformerEncoder	33		min	0.00023103943214300004	1	0.3333333333333333	0	5	loss	0.11699662821622914	4	1	3.940877080891696e-05	0.12842155992984772	837	1587.089786052704	2.4526052474975586	1696655351.292446	10043	371	0.3199999928474426	eager-sweep-220
4	transformer	0.9309029983189748	0.9911293620280764		0.8154492033946742	0.0005428772719812166	0.4354194980926952	3	1	adam	warmupinvsqrt	2	1712	1	1472	34	True	0.00021403366455503248	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653748/version_0	8	96	4	8	0.14117146795872831	True	128	128	67	34	329400	3	TransformerEncoder	33		min	0.0005428772719812166	1	0.3333333333333333	1539	5	loss	0.8154492033946742	4	3	6.698624938559185e-05	0.889516294002533	1107	1539.1174161434174	0.9671270251274108	1696655294.639749	15743	491	0.9800000190734864	snowy-sweep-219
5	transformer	0.8928636155596169	0.9851843166574544		0.6991134816730896	5.038641254548328e-05	0.007373294768186878	3	1	adam	reduceonplateau	2	1648	1	192	34	True	0.007545885272855964	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653728/version_0	8	368	2	2	0.12144593685035508	True	128	128	67	34	3895200	4	TransformerEncoder	33		min	5.038641254548328e-05	1	0.3333333333333333	0	5	loss	0.6991134816730896	4	4	0.00030105045786365126	1.4255881309509275	459	891.2911531925201	3.4225261211395264	1696654627.4888432	6935	203	0.0	vivid-sweep-218
6	transformer	0.8211571200336627	0.9870154908500962		0.27255250491144367	0.0003295512750909382	0.1017824392601162	3	1	adam	None	2	1744	1	1088	34	True	1.504212627603064e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653707/version_0	2	160	4	2	0.1204811801632838	True	128	128	67	34	4621700	1	TransformerEncoder	33		min	0.0003295512750909382	1	0.3333333333333333	0	5	loss	0.27255250491144367	4	1	1.504212627603064e-05	0.7784438729286194	1611	1513.1929485797882	0.7804869413375854	1696655229.2468855	22911	715	0.9900000095367432	fiery-sweep-217
7	transformer	0.8065803136409418	0.9850868987226212		0.25285307788814604	0.0003696171743167813	0.0701937080128387	3	1	adam	warmupinvsqrt	2	688	1	1856	34	True	0.0024524933497733705	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653662/version_0	2	336	2	8	0.09174940564822892	True	128	128	67	34	2498500	2	TransformerEncoder	33		min	0.0003696171743167813	1	0.3333333333333333	14526	5	loss	0.25285307788814604	4	2	0.001641073616948724	0.619229257106781	549	722.6827881336212	0.6203739643096924	1696654391.8206642	9759	243	0.9900000095367432	crimson-sweep-216
8	transformer	0.920979540858741	0.9950906106029992		0.33701582091979687	0.0006130895192299376	0.1876095374211207	3	1	adam	reduceonplateau	2	736	1	1344	34	True	0.0006080660224697833	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653576/version_0	6	128	8	8	0.08302569378544732	True	128	128	67	34	727100	2	TransformerEncoder	33		min	0.0006130895192299376	1	0.3333333333333333	0	5	loss	0.33701582091979687	4	2	0.0006080660224697833	0.5640760064125061	522	823.4019334316254	0.5702657103538513	1696654409.0105665	8815	231	0.9900000095367432	dry-sweep-215
9	transformer	0.8863837237350183	0.9855696617102074		0.6919426502380432	0.0004480611092461255	0.11510070365696	3	1	adam	warmupinvsqrt	2	1920	1	1920	34	True	4.038627755046565e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/transformer/1696653568/version_0	4	96	8	4	0.1034243438499585	True	128	128	67	34	3458600	4	TransformerEncoder	33		min	0.0004480611092461255	1	0.3333333333333333	14410	5	loss	0.6919426502380432	4	4	1.649923774736928e-06	1.993588924407959	459	572.0777945518494	3.1224896907806396	1696654146.7158685	5915	203	0.0	frosty-sweep-214
