	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	lr-Adam	val_loss	trainer/global_step	epoch	_runtime	_timestamp	train_loss	max_val_accuracy	name
10	transformer	0.8434898587528279	0.9914656227899356		0.8409350075352868	4.765067256213757e-05	0.3177306864043468	3	1	adam	None	2	256	1	1024	42	True	0.00011768915605301162	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696041833/version_1	2	80	6	4	0.12297561935383532	True	128	128	68	42	2495700	1	TransformerEncoder	26		min	4.765067256213757e-05	1	0.3333333333333333	0	5	loss	0.8409350075352868	4	1	1800	0.00011768915605301162	0.9016579389572144	31999	799	2719.2114927768707	1696044562.239632	0.8369947075843811	0.9700000286102296	electric-sweep-220
11	transformer	0.9963134990750618	0.9822300336417894		0.5179796494199155	0.00028152315840982806	0.14213410281407868	3	1	adam	None	2	1296	1	1984	42	True	0.0009734068544236844	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696041833/version_0	8	336	4	2	0.12796516785475007	True	128	128	68	42	512900	2	TransformerEncoder	26		min	0.00028152315840982806	1	0.3333333333333333	0	5	loss	0.5179796494199155	4	2	1719	0.0009734068544236844	0.8870495557785034	35907	763	5787.785657405853	1696047628.9418955	0.8666592836380005	0.9800000190734864	iconic-sweep-219
12	transformer	0.8516878377530138	0.989911499454756		0.3079497624004044	0.0005239581479169471	0.30361638254102685	3	1	adam	None	2	2016	1	1728	42	True	3.902651881500342e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696034760/version_0	2	176	6	8	0.17741546719321857	True	128	128	68	42	943200	4	TransformerEncoder	26		min	0.0005239581479169471	1	0.3333333333333333	0	5	loss	0.3079497624004044	4	4	1800	3.902651881500342e-06	1.361830234527588	31999	799	3968.327088832855	1696038739.4513035	1.24331796169281	0.8629999756813049	rare-sweep-215
13	transformer	0.923580364224725	0.9924937483470802		0.2983186684935415	0.000775906711763382	0.2864175983510157	3	1	adam	warmupinvsqrt	2	432	1	1408	42	True	0.0008660996670966806	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696034692/version_0	6	304	6	4	0.035661964400057665	True	128	128	68	42	1507200	2	TransformerEncoder	26		min	0.000775906711763382	1	0.3333333333333333	6977	5	loss	0.2983186684935415	4	2	1755	0.0003780807583184662	0.3258892893791199	36659	779	5096.094084024429	1696039798.230073	0.2830708622932434	0.9919999837875366	ethereal-sweep-214
14	transformer	0.9274946648906428	0.9878479530887532		0.25830034631309884	0.0009911989371416863	0.3691367223340105	3	1	adam	None	2	2032	1	896	42	True	2.484971116926729e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696034116/version_0	4	512	4	2	0.15564781853105605	True	128	128	68	42	4409700	1	TransformerEncoder	26		min	0.0009911989371416863	1	0.3333333333333333	0	5	loss	0.25830034631309884	4	1	1800	2.484971116926729e-06	1.1793220043182373	31999	799	6721.8576402664185	1696040848.9651012	1.0868983268737793	0.9089999794960022	stellar-sweep-213
15	transformer	0.8246826978036204	0.9948563327111548		0.4474474537250146	0.0004504948725116639	0.2704025835609977	3	1	adam	reduceonplateau	2	944	1	1472	42	True	0.0027121176961172277	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696032227/version_0	4	320	6	8	0.05283644133460879	True	128	128	68	42	2539500	3	TransformerEncoder	26		min	0.0004504948725116639	1	0.3333333333333333	0	5	loss	0.4474474537250146	4	3	1728	0.0004504948725116639	0.4552404582500458	33023	767	5244.533850431442	1696037480.3900163	0.4113607406616211	0.9819999933242798	lively-sweep-209
16	transformer	0.8191481950453794	0.9965147332979604		0.5912893690508338	0.0007161847658814424	0.06802319764767778	3	1	adam	None	2	1952	1	128	42	True	0.004798531675213163	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696030707/version_0	6	448	4	4	0.129065763327207	True	128	128	68	42	3201300	4	TransformerEncoder	26		min	0.0007161847658814424	1	0.3333333333333333	0	5	loss	0.5912893690508338	4	4	459	0.004798531675213163	3.5878195762634277	8363	203	3149.6808471679688	1696033876.2078393	2.579333782196045	0.0	sunny-sweep-208
17	transformer	0.8012590001367959	0.9820763665527192		0.2397724576994212	2.1814556563853606e-05	0.3993168618627857	3	1	adam	warmupinvsqrt	2	1632	1	1792	42	True	0.0006166308299946362	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696026169/version_0	4	336	4	2	0.046165921553697344	True	128	128	68	42	1781200	4	TransformerEncoder	26		min	2.1814556563853606e-05	1	0.3333333333333333	8731	5	loss	0.2397724576994212	4	4	1449	0.0003213414433502856	0.4435896873474121	32199	643	3112.3144121170044	1696029288.559278	0.3585887551307678	0.9860000014305116	hopeful-sweep-206
18	transformer	0.9633742934524012	0.9871257121987388		0.2450254019536555	3.282571117660837e-05	0.46449731624563784	3	1	adam	warmupinvsqrt	2	832	1	896	42	True	7.64228746514171e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696021583/version_0	4	112	2	2	0.010215825173819826	True	128	128	68	42	3030900	2	TransformerEncoder	26		min	3.282571117660837e-05	1	0.3333333333333333	14571	5	loss	0.2450254019536555	4	2	459	5.217063579422455e-06	2.868246793746948	9995	203	1200.814418554306	1696022794.3264894	2.1896982192993164	0.0	pretty-sweep-205
19	transformer	0.9239210245052202	0.99193776610584		0.16859054306311505	0.0008510824348301408	0.18256003211126431	3	1	adam	reduceonplateau	2	864	1	768	42	True	0.004661176389873946	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696020801/version_0	4	288	4	8	0.18206661197675375	True	128	128	68	42	3965800	3	TransformerEncoder	26		min	0.0008510824348301408	1	0.3333333333333333	0	5	loss	0.16859054306311505	4	3	1800	0.0008510824348301408	3.4030590057373047	37599	799	5321.728196382523	1696026131.8221965	1.6933404207229614	0.15399999916553497	brisk-sweep-204
