	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	lr-Adam	_runtime	val_loss	_timestamp	trainer/global_step	_step	train_loss	max_val_accuracy	name
46	attentive_lstm	0.9014195908339806	0.991044196817298		0.8206071575828391	0.00035656338464724896	0.14035405044406973	3	1	adam	reduceonplateau	2	944	1	896	42	True	3.354681480527548e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695903019/version_0	1	224	2	1	0.15809687056192034	True	128	128	68	42	1355200	2	LSTMEncoder	26		min	0.00035656338464724896	1	0.3333333333333333	0	5	loss	0.8206071575828391	4	2	799	3.354681480527548e-06	9293.735387325289	1.0268067121505735	1695912323.3701844	34399	1800	1.010913968086243	0.9829999804496764	bright-sweep-183
47	attentive_lstm	0.8472777428274658	0.990179782097765		0.492668334929148	0.0008671909666303234	0.3694364256801548	3	1	adam	reduceonplateau	2	1728	1	1088	42	True	1.033793156222892e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695902605/version_0	1	400	1	1	0.07317949392904124	True	128	128	68	42	1003600	4	LSTMEncoder	26		min	0.0008671909666303234	1	0.3333333333333333	0	5	loss	0.492668334929148	4	4	799	1.033793156222892e-06	7711.101893424988	0.6343269348144531	1695910322.916253	37599	1800	0.5770915150642395	0.9509999752044678	brisk-sweep-182
48	attentive_lstm	0.8541882214758829	0.9831971445742786		0.3534254645012448	0.0007452054427498564	0.06972941321880854	3	1	adam	warmupinvsqrt	2	272	1	128	42	True	5.310467779641647e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695901858/version_0	1	32	2	1	0.020265295557001496	True	128	128	68	42	2810900	3	LSTMEncoder	26		min	0.0007452054427498564	1	0.3333333333333333	20668	5	loss	0.3534254645012448	4	3	203	3.8597758363545975e-06	726.3871850967407	2.719477653503418	1695902590.437664	15095	459	2.603930711746216	0.0	leafy-sweep-181
49	attentive_lstm	0.8530803539287468	0.991774676488616		0.5515937423823277	0.00043384460647931936	0.15082100230963413	3	1	adam	None	2	1472	1	1600	42	True	5.499823425468743e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695901418/version_0	1	288	1	1	0.0956427288688903	True	128	128	68	42	613400	3	LSTMEncoder	26		min	0.00043384460647931936	1	0.3333333333333333	0	5	loss	0.5515937423823277	4	3	795	5.499823425468743e-06	13295.219015836716	0.6861359477043152	1695914719.4841728	43779	1791	0.6597332954406738	0.984000027179718	curious-sweep-180
50	attentive_lstm	0.9159188467794872	0.9867172368414068		0.4927214091013391	0.0005393348685340479	0.41791831743288266	3	1	adam	None	2	272	1	448	42	True	0.008736369057164912	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695900716/version_0	1	352	2	1	0.15130246523787105	True	128	128	68	42	2892700	1	LSTMEncoder	26		min	0.0005393348685340479	1	0.3333333333333333	0	5	loss	0.4927214091013391	4	1	259	0.008736369057164912	1118.9469561576843	3.647750854492187	1695901841.683464	19239	585	2.550238132476806	0.9610000252723694	glad-sweep-178
51	attentive_lstm	0.8835892539445425	0.9943232410366074		0.2594433624794511	0.0005813583560004244	0.45213742805021273	3	1	adam	None	2	240	1	1984	42	True	1.164462498629014e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695900249/version_0	1	224	1	1	0.18811618604309857	True	128	128	68	42	729500	3	LSTMEncoder	26		min	0.0005813583560004244	1	0.3333333333333333	0	5	loss	0.2594433624794511	4	3	507	1.164462498629014e-05	12316.382869243622	1.181203842163086	1695912572.7698913	21335	1143	1.1685991287231443	0.984000027179718	charmed-sweep-177
52	attentive_lstm	0.9792302529873432	0.99106066562588		0.7896544634002993	0.00029512658153288976	0.09863539407790044	3	1	adam	warmupinvsqrt	2	512	1	1024	42	True	0.00025794297873765954	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695899975/version_0	1	496	2	1	0.12510059641739313	True	128	128	68	42	2165900	2	LSTMEncoder	26		min	0.00029512658153288976	1	0.3333333333333333	8460	5	loss	0.7896544634002993	4	2	355	0.00019909700183247777	3102.1243665218353	0.8590620756149292	1695903084.9883275	14239	801	0.826671302318573	0.9860000014305116	hardy-sweep-176
53	attentive_lstm	0.9393566539330334	0.98508882228355		0.8937919099875046	0.00023238634963452184	0.4947795605770498	3	1	adam	warmupinvsqrt	2	176	1	704	42	True	0.0023963808031762603	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695899729/version_0	1	64	2	1	0.06768261075000362	True	128	128	68	42	409300	5	LSTMEncoder	26		min	0.00023238634963452184	1	0.3333333333333333	2325	5	loss	0.8937919099875046	4	5	299	0.0008851039696012962	4504.529440402985	0.5233428478240967	1695904255.0481904	17099	675	0.4934987425804138	0.984000027179718	lunar-sweep-175
54	attentive_lstm	0.9266327939776562	0.984832579605401		0.5451021120729471	2.436874076955655e-05	0.2775785241620043	3	1	adam	reduceonplateau	2	2000	1	1920	42	True	0.007425716743711707	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695899427/version_0	1	160	1	1	0.15741452270186967	True	128	128	68	42	1781100	4	LSTMEncoder	26		min	2.436874076955655e-05	1	0.3333333333333333	0	5	loss	0.5451021120729471	4	4	355	2.436874076955655e-05	7384.857511281967	1.0631811618804932	1695906818.2672153	14239	801	1.04427170753479	0.9670000076293944	serene-sweep-174
55	attentive_lstm	0.9205467323382316	0.9936144562017698		0.8314422699448126	0.0005766600328937227	0.07228209927209278	3	1	adam	warmupinvsqrt	2	416	1	1536	42	True	4.117521165819713e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/attentive_lstm/1695899366/version_0	1	448	1	1	0.04144990523458539	True	128	128	68	42	3842700	5	LSTMEncoder	26		min	0.0005766600328937227	1	0.3333333333333333	18474	5	loss	0.8314422699448126	4	5	799	2.8284263873992206e-06	11857.757013320925	0.3607786893844605	1695911235.8980162	39199	1800	0.3215797543525696	0.9829999804496764	mild-sweep-173
