	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	lr-Adam	train_loss	trainer/global_step	epoch	_runtime	val_loss	_timestamp	max_val_accuracy	name
0	attentive_lstm	0.8879897397972679	0.9823471919304396		0.4519928251017412	0.000545322669032515	0.48258491534102904	3	1	adam	warmupinvsqrt	2	32	1	1664	66	True	9.891684492614546e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696701502/version_0	1	128	1	1	0.03571927541843003	True	128	128	100	66	4746300	4	LSTMEncoder	34		min	0.000545322669032515	1	0.3333333333333333	148321	5	loss	0.4519928251017412	4	4	1134	9.600976721312168e-05	0.3047506511211395	157751	503	17023.37363934517	0.5624754428863525	1696718533.0498984	0.8970000147819519	soft-sweep-240
1	attentive_lstm	0.8843098170856298	0.990182918412172		0.3237765259369506	0.00040957961895629825	0.025248313443919868	3	1	adam	warmupinvsqrt	2	1952	1	1280	66	True	0.004704321572230096	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696667637/version_0	1	112	2	1	0.1897927727172156	True	128	128	100	66	4604200	2	LSTMEncoder	34		min	0.00040957961895629825	1	0.3333333333333333	18869	5	loss	0.3237765259369506	4	2	774	0.003506114487798603	1.2672579288482666	14103	343	6944.584037303925	1.3629378080368042	1696674591.0887382	0.9300000071525574	honest-sweep-239
2	attentive_lstm	0.895098672975352	0.992062432918102		0.8942567122350898	0.0008378844341588355	0.492035733142635	3	1	adam	reduceonplateau	2	1872	1	1792	66	True	0.00023090254907907765	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696667335/version_0	1	304	1	1	0.020092356446362692	True	128	128	100	66	538600	4	LSTMEncoder	34		min	0.0008378844341588355	1	0.3333333333333333	0	5	loss	0.8942567122350898	4	4	657	0.00023090254907907765	0.18170660734176636	12555	291	9280.238761901855	0.42672857642173767	1696676625.700738	0.9049999713897704	fluent-sweep-238
3	attentive_lstm	0.8104197986586672	0.981312974242234		0.5538789715695491	0.0004725452475180136	0.3326656458278174	3	1	adam	reduceonplateau	2	976	1	1472	66	True	1.3416881679703022e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696667125/version_0	1	416	1	1	0.13817383233337546	True	128	128	100	66	1469700	3	LSTMEncoder	34		min	0.0004725452475180136	1	0.3333333333333333	0	5	loss	0.5538789715695491	4	3	1800	1.3416881679703022e-06	1.052079200744629	32799	799	19476.94297528267	1.3626341819763184	1696686609.9032104	0.847000002861023	winter-sweep-236
4	attentive_lstm	0.8531054001386931	0.981749103558704		0.5470436229078234	2.476579566091189e-05	0.13738265667713984	3	1	adam	None	2	1248	1	1664	66	True	1.222646175983268e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696667125/version_0	1	304	2	1	0.10158704858028278	True	128	128	100	66	4693600	1	LSTMEncoder	34		min	2.476579566091189e-05	1	0.3333333333333333	0	5	loss	0.5470436229078234	4	1	1800	1.222646175983268e-05	0.7451401352882385	39199	799	26444.674638986588	0.9385809898376464	1696693578.42244	0.9020000100135804	hearty-sweep-237
5	attentive_lstm	0.92887026363494	0.9966201163938802		0.5443731378886587	0.000846545100614323	0.27483867508537374	3	1	adam	warmupinvsqrt	2	976	1	1216	66	True	2.5267508609829395e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696666287/version_0	1	448	1	1	0.00039717884068664057	True	128	128	100	66	2170500	4	LSTMEncoder	34		min	0.000846545100614323	1	0.3333333333333333	8895	5	loss	0.5443731378886587	4	4	1800	1.3166492028970102e-06	0.05051477253437042	32799	799	14091.33846092224	0.6315762400627136	1696680410.193778	0.8360000252723694	colorful-sweep-235
6	attentive_lstm	0.8472941362596005	0.9804938872968848		0.21299622583432976	2.404898354548253e-05	0.194879015769522	3	1	adam	None	2	208	1	1344	66	True	2.793935409638999e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696666225/version_0	1	144	2	1	0.1147570262005858	True	128	128	100	66	926500	5	LSTMEncoder	34		min	2.404898354548253e-05	1	0.3333333333333333	0	5	loss	0.21299622583432976	4	5	1800	2.793935409638999e-06	0.8722991347312927	39199	799	20791.98363661766	1.0982372760772705	1696687024.0806725	0.859000027179718	autumn-sweep-234
7	attentive_lstm	0.9590784449749332	0.991827493285318		0.7002413875032608	0.0005788358849268902	0.41228371373879713	3	1	adam	warmupinvsqrt	2	480	1	448	66	True	2.996997469337529e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696665863/version_0	1	416	1	1	0.1956134491003576	True	128	128	100	66	756800	3	LSTMEncoder	34		min	0.0005788358849268902	1	0.3333333333333333	3153	5	loss	0.7002413875032608	4	3	1800	9.186505232629284e-07	1.640480875968933	33599	799	4047.303236484528	2.0134291648864746	1696669918.4067576	0.546999990940094	legendary-sweep-233
8	attentive_lstm	0.9166271384313552	0.9830190393758628		0.13091122301748037	0.0003953312675417944	0.07497796824083486	3	1	adam	reduceonplateau	2	704	1	640	66	True	3.6100281804083528e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696572822/version_0	1	176	1	1	0.12380976379499135	True	128	128	100	66	273800	3	LSTMEncoder	34		min	0.0003953312675417944	1	0.3333333333333333	0	5	loss	0.13091122301748037	4	3	1800	3.6100281804083528e-06	0.9232097864151	45599	799	4108.354619026184	1.1615818738937378	1696576939.315391	0.8550000190734863	mild-sweep-239
9	attentive_lstm	0.804299780402666	0.9850375580476826		0.48855765536622886	0.0007683509894894149	0.4756228368571745	3	1	adam	reduceonplateau	2	1632	1	1024	66	True	2.1682403940998618e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696572753/version_0	1	80	1	1	0.03525385985764025	True	128	128	100	66	1026500	2	LSTMEncoder	34		min	0.0007683509894894149	1	0.3333333333333333	0	5	loss	0.48855765536622886	4	2	1800	2.1682403940998618e-05	0.3147241473197937	39999	799	11220.888251066208	0.5443848967552185	1696583982.613989	0.8799999952316284	royal-sweep-238
10	attentive_lstm	0.9789914346594752	0.9918853932431764		0.3303589572847308	4.629412940057039e-06	0.3799097209568251	3	1	adam	None	2	1296	1	576	66	True	6.0036033558724626e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696571944/version_0	1	352	1	1	0.18693002260748637	True	128	128	100	66	688600	2	LSTMEncoder	34		min	4.629412940057039e-06	1	0.3333333333333333	0	5	loss	0.3303589572847308	4	2	1053	6.0036033558724626e-05	1.2589421272277832	21995	467	2111.698545217514	1.4276517629623413	1696574062.85018	0.8960000276565552	generous-sweep-237
11	attentive_lstm	0.8988073472094675	0.9916008839636123		0.5962673351794748	0.00020005856701577843	0.34165196086505145	3	1	adam	None	2	480	1	1472	66	True	0.00010552221819927792	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696571874/version_0	1	64	2	1	0.10871328374149736	True	128	128	100	66	2286600	3	LSTMEncoder	34		min	0.00020005856701577843	1	0.3333333333333333	0	5	loss	0.5962673351794748	4	3	1422	0.00010552221819927792	0.7897893190383911	26543	631	10897.61305141449	0.9075367450714112	1696582778.7966225	0.9020000100135804	glowing-sweep-236
12	attentive_lstm	0.9924359317638192	0.9835132122512684		0.8862797922390379	0.0005336334269720775	0.08295552477769119	3	1	adam	reduceonplateau	2	1616	1	1280	66	True	0.0005459925739790721	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696571507/version_0	1	320	2	1	0.186293325772057	True	128	128	100	66	4553800	5	LSTMEncoder	34		min	0.0005336334269720775	1	0.3333333333333333	0	5	loss	0.8862797922390379	4	5	1035	0.0005336334269720775	1.244205117225647	22999	459	6554.527766704559	1.375306487083435	1696578069.0722096	0.915000021457672	peachy-sweep-234
13	attentive_lstm	0.8529663287589556	0.9808165959501688		0.5828465026802928	0.00023800094607206085	0.1821507894375023	3	1	adam	None	2	1552	1	320	66	True	0.0026026860793092795	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-romanian/attentive_lstm/1696571474/version_0	1	144	2	1	0.167220522875312	True	128	128	100	66	3004300	1	LSTMEncoder	34		min	0.00023800094607206085	1	0.3333333333333333	0	5	loss	0.5828465026802928	4	1	1287	0.0026026860793092795	1.1447151899337769	29743	571	2492.3670070171356	1.2806967496871948	1696573974.208104	0.9290000200271606	colorful-sweep-233
