	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	lr-Adam	_runtime	val_loss	train_loss	_step	epoch	_timestamp	trainer/global_step	max_val_accuracy	name
63	attentive_lstm	0.8599729423088992	0.9938701074557508		0.4001827334305891	6.759969810381561e-05	0.27509005948937787	3	1	adam	warmupinvsqrt	2	208	1	192	55	True	2.4934398395228894e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697386631/version_0	1	288	2	1	0.02188482637818581	True	128	128	55	55	4899200	2	LSTMEncoder	0		min	6.759969810381561e-05	1	0.3333333333333333	23553	5	loss	0.4001827334305891	4	2	8.381337073622347e-06	685.6690254211426	3.205596446990967	1.6080591678619385	459	203	1697387323.3768277	7955	0.0	silvery-sweep-161
64	attentive_lstm	0.84267429277137	0.980695153559196		0.4332316190230188	0.00039320196927095634	0.2829813471850593	3	1	adam	reduceonplateau	2	128	1	384	55	True	2.484627676897975e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697386453/version_0	1	240	1	1	0.0955522091371307	True	128	128	55	55	708600	1	LSTMEncoder	0		min	0.00039320196927095634	1	0.3333333333333333	0	5	loss	0.4332316190230188	4	1	2.484627676897975e-06	5791.339393377304	1.1847182512283323	0.8024091720581055	1800	799	1697392255.6779554	50399	0.7799999713897705	brisk-sweep-160
65	attentive_lstm	0.9757323696587008	0.9833837502876834		0.12347985965423149	0.000832458892114016	0.04762206348413667	3	1	adam	reduceonplateau	2	1088	1	192	55	True	8.50098942161693e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697386292/version_0	1	192	1	1	0.052339673216905185	True	128	128	55	55	1806400	2	LSTMEncoder	0		min	0.000832458892114016	1	0.3333333333333333	0	5	loss	0.12347985965423149	4	2	8.50098942161693e-06	5903.707551717758	0.7060216665267944	0.4498835802078247	1800	799	1697392207.1221616	47199	0.8700000047683716	fanciful-sweep-159
66	attentive_lstm	0.8597534809176945	0.9987954649582566		0.8086701006333167	0.0003914182632876611	0.007482033519046083	3	1	adam	None	2	704	1	128	55	True	0.0034296188919682893	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697386290/version_0	1	320	2	1	0.15686024176712335	True	128	128	55	55	395100	2	LSTMEncoder	0		min	0.0003914182632876611	1	0.3333333333333333	0	5	loss	0.8086701006333167	4	2	0.0034296188919682893	1939.3964669704435	1.30307936668396	1.0490705966949463	639	283	1697388239.722941	13063	0.8790000081062317	snowy-sweep-158
67	attentive_lstm	0.9680164575723336	0.989292407976622		0.3241996852576514	0.0006919104502594086	0.4434414586975067	3	1	adam	warmupinvsqrt	2	256	1	192	55	True	1.008623498083343e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697385986/version_0	1	224	2	1	0.10131861447625044	True	128	128	55	55	1579200	4	LSTMEncoder	0		min	0.0006919104502594086	1	0.3333333333333333	6168	5	loss	0.3241996852576514	4	4	9.828296644455009e-06	626.7110195159912	3.311708450317383	1.9909813404083252	459	203	1697386619.7970655	6527	0.0	solar-sweep-157
68	attentive_lstm	0.9850719937619706	0.9956440325146338		0.4597215230971496	0.0003692576569726357	0.18442479519783592	3	1	adam	None	2	448	1	1728	55	True	0.0014641658943894866	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697385307/version_0	1	64	1	1	0.12881741622780496	True	128	128	55	55	4682100	3	LSTMEncoder	0		min	0.0003692576569726357	1	0.3333333333333333	0	5	loss	0.4597215230971496	4	3	0.0014641658943894866	7911.638350725174	1.108086109161377	0.8876546621322632	702	311	1697393229.6976228	11231	0.8859999775886536	still-sweep-154
69	attentive_lstm	0.9619277932626756	0.9843229509288725		0.49481233014725423	0.0008960334132650898	0.14661715068661518	3	1	adam	warmupinvsqrt	2	912	1	320	55	True	0.0010369558232169417	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697385061/version_0	1	144	1	1	0.021148866659170484	True	128	128	55	55	271300	1	LSTMEncoder	0		min	0.0008960334132650898	1	0.3333333333333333	1189	5	loss	0.49481233014725423	4	1	0.00037615173642715474	1361.9717364311218	0.4776407480239868	0.18674996495246887	567	251	1697386434.1561303	9071	0.8859999775886536	peachy-sweep-153
70	attentive_lstm	0.8856202000394715	0.9807869727796072		0.8603777901940382	4.137482883312068e-05	0.23181686240789265	3	1	adam	reduceonplateau	2	800	1	704	55	True	0.00011988841747289182	results-sig-2021-g2p-dut/attentive_lstm/1697384905/version_0	1	160	1	1	0.09927300539067554	True	128	128	55	55	3663800	3	LSTMEncoder	0		min	4.137482883312068e-05	1	0.3333333333333333	0	5	loss	0.8603777901940382	4	3	4.137482883312068e-05	15151.707312345505	0.951441526412964	0.7120273113250732	1800	799	1697400060.9942064	31999	0.9020000100135804	lilac-sweep-152
71	attentive_lstm	0.9232249822952976	0.9841023814727716		0.3988203719226928	0.0001663401995032268	0.16695682542964035	3	1	adam	reduceonplateau	2	1456	1	960	55	True	2.9571370676997308e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697384263/version_0	1	128	1	1	0.07825178012046821	True	128	128	55	55	1345300	3	LSTMEncoder	0		min	0.0001663401995032268	1	0.3333333333333333	0	5	loss	0.3988203719226928	4	3	2.9571370676997308e-05	5685.4745280742645	0.8714486956596375	0.5892476439476013	1251	555	1697389956.9180272	21683	0.8980000019073486	vocal-sweep-151
72	attentive_lstm	0.8795835200476448	0.9967837616029596		0.3254079374836245	0.0009495280856456366	0.2767381736117754	3	1	adam	warmupinvsqrt	2	864	1	1152	55	True	0.004601151638687187	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2021-g2p-dut/attentive_lstm/1697383984/version_0	1	384	1	1	0.14818042322112387	True	128	128	55	55	491300	5	LSTMEncoder	0		min	0.0009495280856456366	1	0.3333333333333333	2274	5	loss	0.3254079374836245	4	5	0.0023418764984792628	4599.788867473602	2.2842721939086914	1.2350682020187378	522	231	1697388591.8387554	8815	0.8859999775886536	charmed-sweep-150
