	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_timestamp	trainer/global_step	_step	lr-Adam	val_loss	train_loss	epoch	_runtime	max_val_accuracy	name
33	attentive_lstm	0.8178734207119124	0.980530608782594		0.19133048733131616	0.000756389921531985	0.2918648083626917	3	1	adam	reduceonplateau	2	576	1	1792	61	True	0.006498512102635711	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693771359/version_0	1	384	1	1	0.16209890367534008	True	128	128	100	61	2934000	4	LSTMEncoder	39		min	0.000756389921531985	1	0.3333333333333333	0	5	loss	0.19133048733131616	4	4	1693792462.7822478	11339	729	0.000756389921531985	1.222038745880127	1.1044023036956787	323	21097.3052008152	0.8809999823570251	crimson-sweep-228
34	attentive_lstm	0.860054001333884	0.9878176866412166		0.2267873022061022	0.00010179958372892612	0.2871753398570235	3	1	adam	reduceonplateau	2	1024	1	1024	61	True	0.003809156407272628	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693771309/version_0	1	192	1	1	0.11047533353010186	True	128	128	100	61	4419300	2	LSTMEncoder	39		min	0.00010179958372892612	1	0.3333333333333333	0	5	loss	0.2267873022061022	4	2	1693782396.3232594	15999	1800	0.00010179958372892612	0.9407596588134766	0.792466402053833	799	11073.898002386091	0.8640000224113464	neat-sweep-227
35	attentive_lstm	0.957710822772994	0.9906559089246564		0.7965547589605103	3.402942102884472e-05	0.41357647238101874	3	1	adam	None	2	480	1	512	61	True	1.0050401459205865e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693771297/version_0	1	416	2	1	0.1804593586524189	True	128	128	100	61	1219200	4	LSTMEncoder	39		min	3.402942102884472e-05	1	0.3333333333333333	0	5	loss	0.7965547589605103	4	4	1693773061.1926954	4283	459	1.0050401459205865e-06	3.3154408931732178	3.177731990814209	203	1756.596872329712	0.0	sweet-sweep-226
36	attentive_lstm	0.8899236726995328	0.9832379371111056		0.8129289640619665	0.0006848710412617653	0.3759765303940677	3	1	adam	reduceonplateau	2	208	1	192	61	True	0.00021401376694108292	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693771023/version_0	1	160	2	1	0.16268135073871184	True	128	128	100	61	3083700	2	LSTMEncoder	39		min	0.0006848710412617653	1	0.3333333333333333	0	5	loss	0.8129289640619665	4	2	1693772423.109592	19207	882	0.00021401376694108292	1.193901300430298	1.126078963279724	391	1391.8291058540344	0.8740000128746033	quiet-sweep-223
37	attentive_lstm	0.9526530715761332	0.998826294775851		0.8655855814646233	0.0007417419785119276	0.3225987294539923	3	1	adam	reduceonplateau	2	352	1	1280	61	True	4.024414274248151e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693770896/version_0	1	288	1	1	0.0917682451512092	True	128	128	100	61	2842100	4	LSTMEncoder	39		min	0.0007417419785119276	1	0.3333333333333333	0	5	loss	0.8655855814646233	4	4	1693815932.1905658	23199	1800	4.024414274248151e-06	0.8223632574081421	0.7182705402374268	799	45028.66251277923	0.8669999837875366	blooming-sweep-222
38	attentive_lstm	0.917164524739992	0.9882692132248496		0.3847608148504401	0.000765007032271802	0.331335685924909	3	1	adam	warmupinvsqrt	2	576	1	1152	61	True	0.0003294058194854469	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693769694/version_0	1	32	1	1	0.0834344138957512	True	128	128	100	61	4119300	2	LSTMEncoder	39		min	0.000765007032271802	1	0.3333333333333333	14303	5	loss	0.3847608148504401	4	2	1693782841.6186385	26599	1710	0.00024170738878260664	0.7531177401542664	0.6245590448379517	759	13140.67943263054	0.8820000290870667	playful-sweep-221
39	attentive_lstm	0.8555002572154417	0.9848828253260596		0.7174340966493467	0.0002473079108910859	0.298194934110305	3	1	adam	reduceonplateau	2	1456	1	768	61	True	2.959190712395182e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693769677/version_0	1	80	1	1	0.01434567933126827	True	128	128	100	61	3234700	4	LSTMEncoder	39		min	0.0002473079108910859	1	0.3333333333333333	0	5	loss	0.7174340966493467	4	4	1693775088.4328177	17135	1377	2.959190712395182e-05	0.28950563073158264	0.15600742399692535	611	5403.441638469696	0.8659999966621399	eternal-sweep-220
40	attentive_lstm	0.8792303105562879	0.9902855197673978		0.5645712487167195	0.00023331696460355937	0.18224756770315176	3	1	adam	None	2	1920	1	1344	61	True	0.0008161233733638405	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693769096/version_0	1	480	1	1	0.16520722490632614	True	128	128	100	61	3999100	1	LSTMEncoder	39		min	0.00023331696460355937	1	0.3333333333333333	0	5	loss	0.5645712487167195	4	1	1693780135.3212633	5795	621	0.0008161233733638405	1.185814619064331	1.11312997341156	275	11031.994478225708	0.8809999823570251	jolly-sweep-219
41	attentive_lstm	0.9915681005408604	0.9873646549818512		0.4318192469718839	0.00017378134256101316	0.05488491512441179	3	1	adam	warmupinvsqrt	2	992	1	448	61	True	3.965963502091271e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693768622/version_0	1	144	2	1	0.08426382938806083	True	128	128	100	61	2560400	3	LSTMEncoder	39		min	0.00017378134256101316	1	0.3333333333333333	5162	5	loss	0.4318192469718839	4	3	1693770885.6150312	4283	459	3.2752619933000948e-06	3.0840072631835938	2.9420313835144043	203	2256.8720622062683	0.0	polar-sweep-218
42	attentive_lstm	0.8210597626371127	0.989841660752945		0.5012770145045409	6.146597861820848e-05	0.1528028175455051	3	1	adam	reduceonplateau	2	928	1	2048	61	True	0.0027095661363249514	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/attentive_lstm/1693768229/version_0	1	160	1	1	0.12747252475576903	True	128	128	100	61	1764000	1	LSTMEncoder	39		min	6.146597861820848e-05	1	0.3333333333333333	0	5	loss	0.5012770145045409	4	1	1693796653.3208025	13639	1395	6.146597861820848e-05	0.9629366397857666	0.8916791081428528	619	28416.722126483917	0.9100000262260436	clean-sweep-217
