	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	val_loss	train_loss	epoch	lr-Adam	_runtime	_timestamp	trainer/global_step	max_val_accuracy	name
21	transformer	0.9421777991777716	0.9927872648629644		0.23128042536638677	0.0004838205827066731	0.31679283872524644	3	1	adam	reduceonplateau	2	624	1	384	59	True	1.8979047224764297e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694495948/version_0	6	320	2	2	0.04507437719630256	True	128	128	82	59	4373300	4	TransformerEncoder	23		min	0.0004838205827066731	1	0.3333333333333333	0	5	loss	0.23128042536638677	4	4	1800	0.4883144795894623	0.402889221906662	799	1.8979047224764297e-05	3391.654870033264	1694499346.402208	26399	0.9470000267028807	glorious-sweep-228
22	transformer	0.8280238708864873	0.994653521655489		0.4962909012312213	0.000999617599646453	0.3942979926990465	3	1	adam	reduceonplateau	2	1744	1	1280	59	True	0.0006178844019750475	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694495341/version_0	4	384	6	8	0.11162179130814216	True	128	128	82	59	3574100	5	TransformerEncoder	23		min	0.000999617599646453	1	0.3333333333333333	0	5	loss	0.4962909012312213	4	5	1125	0.8801791667938232	0.8024875521659851	499	0.0006178844019750475	6088.986660480499	1694501436.1136744	11499	0.9789999723434448	wild-sweep-227
23	transformer	0.9784173619396844	0.990725871478678		0.6464272489111667	0.0006003672190786017	0.1979827766693894	3	1	adam	None	2	1024	1	960	59	True	6.00818332720203e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694495281/version_0	2	368	8	8	0.04711925684259544	True	128	128	82	59	2938600	4	TransformerEncoder	23		min	0.0006003672190786017	1	0.3333333333333333	0	5	loss	0.6464272489111667	4	4	1800	0.5284674167633057	0.420177698135376	799	6.00818332720203e-06	3465.936949491501	1694498754.7221384	15999	0.9330000281333924	super-sweep-226
24	transformer	0.841536787785803	0.9985986143275226		0.8277873231352318	0.0003136246890046788	0.2608212316431243	3	1	adam	warmupinvsqrt	2	1488	1	1920	59	True	3.375500430084151e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694494620/version_0	2	192	6	2	0.13260513008442368	True	128	128	82	59	2193900	5	TransformerEncoder	23		min	0.0003136246890046788	1	0.3333333333333333	4423	5	loss	0.8277873231352318	4	5	1800	0.9959114789962769	0.9694374203681946	799	1.733060006803506e-05	2529.6660702228546	1694497157.582791	16799	0.9369999766349792	splendid-sweep-225
25	transformer	0.9144987015178228	0.9921627896303268		0.2406714720770191	0.00024139305630690793	0.23569271748632548	3	1	adam	None	2	1520	1	1152	59	True	0.0003410187233004748	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694494262/version_0	8	400	2	4	0.1211870924163369	True	128	128	82	59	3679500	5	TransformerEncoder	23		min	0.00024139305630690793	1	0.3333333333333333	0	5	loss	0.2406714720770191	4	5	1341	0.898084819316864	0.8535199165344238	595	0.0003410187233004748	3326.1043689250946	1694497594.210307	16091	0.9810000061988832	vague-sweep-224
26	transformer	0.8574188751584518	0.9888887454438298		0.628864811200198	0.0001165289564903627	0.18210968533567173	3	1	adam	reduceonplateau	2	1968	1	1408	59	True	0.0003129965558412727	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694494140/version_0	6	64	6	8	0.13551733231865087	True	128	128	82	59	888400	4	TransformerEncoder	23		min	0.0001165289564903627	1	0.3333333333333333	0	5	loss	0.628864811200198	4	4	1746	0.9759763479232788	0.9404157400131226	775	0.0001165289564903627	2230.8203542232513	1694496377.9567883	16295	0.977999985218048	hopeful-sweep-223
27	transformer	0.8238668168296199	0.9899034295977096		0.130163142880389	5.798514336996381e-05	0.0084269074250502	3	1	adam	warmupinvsqrt	2	1664	1	192	59	True	0.005725601314621384	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694494035/version_0	2	224	2	4	0.07007939960413688	True	128	128	82	59	4125200	3	TransformerEncoder	23		min	5.798514336996381e-05	1	0.3333333333333333	9916	5	loss	0.130163142880389	4	3	1350	0.5733989477157593	0.5365299582481384	599	0.004659142005210714	1222.5685980319977	1694495264.518062	14999	0.9729999899864196	honest-sweep-222
28	transformer	0.9387485988156204	0.9865985616874062		0.6795572645096546	0.000916445213616202	0.23867622068907768	3	1	adam	warmupinvsqrt	2	560	1	1792	59	True	4.1334494504576394e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694493043/version_0	6	32	2	8	0.025560076377728502	True	128	128	82	59	1852000	4	TransformerEncoder	23		min	0.000916445213616202	1	0.3333333333333333	6614	5	loss	0.6795572645096546	4	4	1800	0.7683870792388916	0.5361388325691223	799	1.9820750105122723e-05	2989.8301479816437	1694496039.880635	28799	0.734000027179718	graceful-sweep-221
29	transformer	0.8335991789003979	0.9814642980425085		0.11827740838697744	0.0007513074449464541	0.1459932483154469	3	1	adam	warmupinvsqrt	2	640	1	256	59	True	0.0029480152970671153	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694492922/version_0	4	448	4	8	0.1594781522359433	True	128	128	82	59	3547100	4	TransformerEncoder	23		min	0.0007513074449464541	1	0.3333333333333333	11084	5	loss	0.11827740838697744	4	4	567	2.553457021713257	1.8616163730621336	251	0.002136273806030591	1085.1806342601776	1694494014.299718	8063	0.9559999704360962	rich-sweep-220
30	transformer	0.8908172240493368	0.982771310344601		0.6316697918697373	0.0002001297246331559	0.15450462615995286	3	1	adam	None	2	224	1	384	59	True	5.915534675624612e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694491570/version_0	2	352	4	4	0.07429316939277449	True	128	128	82	59	1631000	3	TransformerEncoder	23		min	0.0002001297246331559	1	0.3333333333333333	0	5	loss	0.6316697918697373	4	3	1800	0.6628763675689697	0.5891297459602356	799	5.915534675624612e-06	2647.4818165302277	1694494224.7017496	35999	0.9559999704360962	spring-sweep-218
31	transformer	0.8220378573203317	0.983108016511477		0.6637067707003059	9.562786007024568e-05	0.1768309340433597	3	1	adam	None	2	448	1	1600	59	True	1.844724121007129e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/transformer/1694491479/version_0	4	352	8	8	0.10849820644595076	True	128	128	82	59	2017300	3	TransformerEncoder	23		min	9.562786007024568e-05	1	0.3333333333333333	0	5	loss	0.6637067707003059	4	3	1800	1.0583767890930176	0.8669788837432861	799	1.844724121007129e-06	5007.9157927036285	1694496493.6543937	18399	0.8690000176429749	sage-sweep-216
