	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	epoch	lr-Adam	_timestamp	train_loss	_runtime	val_loss	trainer/global_step	max_val_accuracy	name
0	attentive_lstm	0.8842367608947923	0.9833866879886124		0.12078549924084953	0.0001012279336819326	0.0490057476128859	3	1	adam	reduceonplateau	2	368	1	192	50	True	0.008135101775814441	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1696085261/version_0	1	112	2	1	0.1112691607125105	True	128	128	83	50	2339500	5	LSTMEncoder	33		min	0.0001012279336819326	1	0.3333333333333333	0	5	loss	0.12078549924084953	4	5	639	283	0.0001012279336819326	1696086521.2036664	0.773817777633667	1252.347974538803	0.8458053469657898	15619	0.962000012397766	flowing-sweep-214
1	attentive_lstm	0.8901278331961585	0.9820378213712808		0.4928512636132736	0.0005162925070765936	0.38863859690130087	3	1	adam	reduceonplateau	2	656	1	320	50	True	0.0029350555278682645	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1696028816/version_0	1	192	2	1	0.12352908066692468	True	128	128	83	50	2946000	1	LSTMEncoder	33		min	0.0005162925070765936	1	0.3333333333333333	0	5	loss	0.4928512636132736	4	1	783	347	0.0005162925070765936	1696031747.2526047	0.8499945402145386	2920.6939816474915	0.9009587168693542	21227	0.9679999947547911	whole-sweep-211
2	attentive_lstm	0.8022918781982168	0.9828797134879014		0.29050058180120686	0.00014643747735617252	0.19306903069587983	3	1	adam	None	2	592	1	1472	50	True	4.019384778362897e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1696027830/version_0	1	128	1	1	0.07881293511050619	True	128	128	83	50	878600	1	LSTMEncoder	33		min	0.00014643747735617252	1	0.3333333333333333	0	5	loss	0.29050058180120686	4	1	873	387	4.019384778362897e-05	1696041071.9442365	0.5752235651016235	13234.246857404709	0.6598881483078003	26383	0.962000012397766	revived-sweep-210
3	attentive_lstm	0.8227579091899653	0.9836685706036474		0.5095061256788893	0.0008548583283486294	0.14963236761665655	3	1	adam	warmupinvsqrt	2	1248	1	1472	50	True	0.0024103801083613812	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695919539/version_0	1	32	1	1	0.19807886644053588	True	128	128	83	50	4791500	3	LSTMEncoder	33		min	0.0008548583283486294	1	0.3333333333333333	23036	5	loss	0.5095061256788893	4	3	1017	451	0.002312336777855451	1695930342.7133908	1.2541582584381104	10796.325536727903	1.3062833547592163	22147	0.9700000286102296	chocolate-sweep-207
4	attentive_lstm	0.8703253915651626	0.9833154699803828		0.46404767022197824	0.0002882417252214891	0.3619602135747091	3	1	adam	None	2	1120	1	128	50	True	0.0009007569277498016	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695917613/version_0	1	256	2	1	0.10864197293434484	True	128	128	83	50	3069400	2	LSTMEncoder	33		min	0.0002882417252214891	1	0.3333333333333333	0	5	loss	0.46404767022197824	4	2	1485	659	0.0009007569277498016	1695920441.2652094	0.7738813161849976	2818.088170528412	0.8182752132415771	29699	0.9670000076293944	rich-sweep-206
5	attentive_lstm	0.8437721843305592	0.9905611590636144		0.3722816065643107	0.0007526741645470295	0.10511680445702282	3	1	adam	reduceonplateau	2	1776	1	192	50	True	0.006822912283110749	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695914147/version_0	1	384	1	1	0.03292005899074129	True	128	128	83	50	4299400	3	LSTMEncoder	33		min	0.0007526741645470295	1	0.3333333333333333	0	5	loss	0.3722816065643107	4	3	1530	679	0.0007526741645470295	1695916484.9080803	0.27133235335350037	2329.8309643268585	0.40294909477233887	31279	0.953000009059906	gentle-sweep-223
6	attentive_lstm	0.8918678655865452	0.9848134789791544		0.7686936070652365	7.519127287069245e-05	0.2750764544394843	3	1	adam	None	2	1072	1	1280	50	True	0.005633029747726866	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695913865/version_0	1	208	1	1	0.1963522714052968	True	128	128	83	50	23500	3	LSTMEncoder	33		min	7.519127287069245e-05	1	0.3333333333333333	0	5	loss	0.7686936070652365	4	3	513	227	0.005633029747726866	1695920022.0188663	1.2516206502914429	6140.778962612152	1.3210227489471436	17099	0.9459999799728394	firm-sweep-222
7	attentive_lstm	0.8654910276345491	0.9897229142512062		0.10493329427419758	0.0006102757962088199	0.07934873217626082	3	1	adam	warmupinvsqrt	2	464	1	512	50	True	0.0017999493920092982	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695913422/version_0	1	64	1	1	0.13541583097656568	True	128	128	83	50	3311500	1	LSTMEncoder	33		min	0.0006102757962088199	1	0.3333333333333333	14273	5	loss	0.10493329427419758	4	1	1557	691	0.001233254092912807	1695917014.0117698	0.9098974466323853	3585.584043741226	0.9686159491539	30447	0.9700000286102296	breezy-sweep-221
8	attentive_lstm	0.9572265830865092	0.9933080772338406		0.18925705098747503	0.0004225006548795258	0.13461335819845244	3	1	adam	reduceonplateau	2	1136	1	384	50	True	2.700987683506612e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695912748/version_0	1	160	2	1	0.11140791845904284	True	128	128	83	50	76200	5	LSTMEncoder	33		min	0.0004225006548795258	1	0.3333333333333333	0	5	loss	0.18925705098747503	4	5	1800	799	2.700987683506612e-06	1695927960.065169	0.8725509643554688	15195.788196325302	0.9916113615036012	56799	0.8859999775886536	lucky-sweep-219
9	attentive_lstm	0.8486008084067471	0.9853758357206		0.2265114195743368	0.0008717526707134233	0.04821051025355083	3	1	adam	warmupinvsqrt	2	368	1	1920	50	True	0.0008259055273204986	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/attentive_lstm/1695847507/version_0	1	384	2	1	0.09282597495079116	True	128	128	83	50	1282000	3	LSTMEncoder	33		min	0.0008717526707134233	1	0.3333333333333333	6967	5	loss	0.2265114195743368	4	3	1179	523	0.0004064630659312188	1695869293.020069	0.6591746807098389	21779.329180002213	0.7153134346008301	28819	0.975000023841858	worthy-sweep-209
