	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	_runtime	_timestamp	_step	lr-Adam	val_loss	train_loss	trainer/global_step	max_val_accuracy	name
139	transformer	0.9070582758132408	0.996599170907818		0.4770218379996404	0.00062448041925252	0.4941235464412077	3	1	adam	reduceonplateau	2	1968	1	448	61	True	1.1280502452566146e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693727741/version_0	6	272	6	8	0.0342358861495981	True	128	128	100	61	3569500	2	TransformerEncoder	39		min	0.00062448041925252	1	0.3333333333333333	0	5	loss	0.4770218379996404	4	2	799	3641.859648227692	1693731389.3860512	1800	1.1280502452566146e-05	0.9512988328933716	0.5407062768936157	16799	0.656000018119812	trim-sweep-80
140	transformer	0.8433457354612901	0.9905232715275591		0.5310374750494641	0.0002770116293261535	0.12806484006180135	3	1	adam	warmupinvsqrt	2	208	1	704	61	True	9.525706697195828e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693727585/version_0	4	32	6	2	0.05035375228344987	True	128	128	100	61	3696100	4	TransformerEncoder	39		min	0.0002770116293261535	1	0.3333333333333333	17769	5	loss	0.5310374750494641	4	4	203	722.4611060619354	1693728314.669772	459	5.3324443985034e-06	3.3021984100341797	2.996753215789795	9995	0.0	dauntless-sweep-79
141	transformer	0.8804582686610032	0.998254070463006		0.23518392081869424	0.00099746990286831	0.09436345849906348	3	1	adam	None	2	912	1	1216	61	True	3.3178529774142436e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693727356/version_0	2	112	6	4	0.13395877901722517	True	128	128	100	61	1842700	2	TransformerEncoder	39		min	0.00099746990286831	1	0.3333333333333333	0	5	loss	0.23518392081869424	4	2	799	1995.2902529239657	1693729359.4738228	1800	3.3178529774142436e-06	1.247446060180664	1.1656720638275146	17599	0.6620000004768372	summer-sweep-78
142	transformer	0.862258860515812	0.987269985845112		0.5605115857929023	0.0004831915895412017	0.15611578171512996	3	1	adam	warmupinvsqrt	2	944	1	1152	61	True	4.175057818281531e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693726921/version_0	2	464	2	8	0.06537725585019498	True	128	128	100	61	2510600	4	TransformerEncoder	39		min	0.0004831915895412017	1	0.3333333333333333	5319	5	loss	0.5605115857929023	4	4	799	4441.608106136322	1693731370.124812	1800	2.2966391260055625e-06	0.6843084096908569	0.6031445264816284	17599	0.8140000104904175	polar-sweep-77
143	transformer	0.909285085497508	0.9802809167224537		0.7884977243525615	0.0005769290593200802	0.39811311146885536	3	1	adam	warmupinvsqrt	2	368	1	1920	61	True	0.007132733183366964	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693726799/version_0	2	224	6	2	0.1325313013307918	True	128	128	100	61	3476100	2	TransformerEncoder	39		min	0.0005769290593200802	1	0.3333333333333333	9445	5	loss	0.7884977243525615	4	2	271	924.2125916481018	1693727730.4396667	612	0.005730352503482109	1.3792362213134766	1.1157231330871582	7615	0.8190000057220459	gentle-sweep-76
144	transformer	0.9168413914669098	0.9943066143494984		0.4898320849019576	0.00030653044416171826	0.25165532608233954	3	1	adam	warmupinvsqrt	2	128	1	896	61	True	1.9291923570368576e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693725803/version_0	2	336	2	2	0.007083203190139664	True	128	128	100	61	1463700	4	TransformerEncoder	39		min	0.00030653044416171826	1	0.3333333333333333	11435	5	loss	0.4898320849019576	4	4	799	3629.513239145279	1693729438.7463331	1800	8.211200973723967e-07	0.4918605387210846	0.3849226236343384	63199	0.6399999856948853	hopeful-sweep-75
145	transformer	0.9016419606448782	0.9827204312565936		0.3289652579354552	0.0007522597025336157	0.07666199228574888	3	1	adam	reduceonplateau	2	608	1	640	61	True	6.961157101735137e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693725585/version_0	8	112	4	4	0.042525920758417504	True	128	128	100	61	4401200	3	TransformerEncoder	39		min	0.0007522597025336157	1	0.3333333333333333	0	5	loss	0.3289652579354552	4	3	367	1198.459067583084	1693726789.7033396	828	6.961157101735137e-05	0.5308846831321716	0.3521963953971863	12143	0.859000027179718	noble-sweep-74
146	transformer	0.8827956091048073	0.9897051082352788		0.41772941588544177	0.0002702335033701846	0.4412561851663071	3	1	adam	None	2	544	1	1024	61	True	0.00011921003697147012	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693725029/version_0	4	256	2	4	0.10991193951968516	True	128	128	100	61	3695100	3	TransformerEncoder	39		min	0.0002702335033701846	1	0.3333333333333333	0	5	loss	0.41772941588544177	4	3	799	2539.058634519577	1693727574.1591215	1800	0.00011921003697147012	1.0141551494598389	0.8206496238708496	29599	0.8820000290870667	amber-sweep-73
147	transformer	0.8173494241116547	0.998024971524152		0.3305814509568399	0.0009638651219512226	0.42617465449382025	3	1	adam	warmupinvsqrt	2	656	1	64	61	True	3.094781174318426e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693724985/version_0	6	160	2	2	0.012247146469571323	True	128	128	100	61	4073900	1	TransformerEncoder	39		min	0.0009638651219512226	1	0.3333333333333333	12420	5	loss	0.3305814509568399	4	1	799	2351.6789033412933	1693727344.0164554	1800	2.191474934668588e-05	0.5984336137771606	0.3843128979206085	24799	0.703000009059906	pious-sweep-72
148	transformer	0.8391869294787399	0.9809541610345648		0.8893529465842679	0.000765035679046929	0.1326447979841544	3	1	adam	reduceonplateau	2	912	1	1344	61	True	3.4856886740716604e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-hungarian/transformer/1693724923/version_0	6	320	6	2	0.008329695119374758	True	128	128	100	61	89700	4	TransformerEncoder	39		min	0.000765035679046929	1	0.3333333333333333	0	5	loss	0.8893529465842679	4	4	799	4419.356719493866	1693729350.9080806	1800	3.4856886740716604e-06	0.24069973826408383	0.13302020728588104	17599	0.8579999804496765	fancy-sweep-71
