	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	val_loss	_timestamp	train_loss	_step	lr-Adam	_runtime	trainer/global_step	epoch	max_val_accuracy	name
189	attentive_lstm	0.9016677625837736	0.992128033903833		0.3724788682199808	0.0004455476974327436	0.32684713504112367	3	1	adam	warmupinvsqrt	2	1104	1	1024	34	True	9.629990175255535e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696584438/version_0	1	288	2	1	0.07909172873582529	True	128	128	67	34	263500	2	LSTMEncoder	33		min	0.0004455476974327436	1	0.3333333333333333	1432	5	loss	0.3724788682199808	4	2	0.6087685227394104	1696588523.1910963	0.5557262897491455	882	2.9896281630678413e-06	4077.9980256557465	14895	391	0.9800000190734864	copper-sweep-32
190	attentive_lstm	0.8743864023388735	0.99564495395028		0.318622946493764	1.933546270475259e-06	0.06476041229175789	3	1	adam	None	2	1584	1	192	34	True	0.004093736270621984	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696584000/version_0	1	16	2	1	0.15655364989147633	True	128	128	67	34	264600	4	LSTMEncoder	33		min	1.933546270475259e-06	1	0.3333333333333333	0	5	loss	0.318622946493764	4	4	0.9632991552352904	1696584883.398683	0.9595878720283508	513	0.004093736270621984	872.215175151825	7979	227	0.9900000095367432	copper-sweep-31
191	attentive_lstm	0.8052457639878283	0.9826249141117928		0.635662277768912	0.0004928322473206337	0.3994103233831518	3	1	adam	reduceonplateau	2	864	1	192	34	True	1.0171366479735662e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696583947/version_0	1	512	1	1	0.14747214878666098	True	128	128	67	34	4152500	1	LSTMEncoder	33		min	0.0004928322473206337	1	0.3333333333333333	0	5	loss	0.635662277768912	4	1	1.0843104124069214	1696586489.4204495	0.9741618037223816	1800	1.0171366479735662e-05	2534.98332953453	25599	799	0.9399999976158142	faithful-sweep-30
192	attentive_lstm	0.9156120740693864	0.9830261822627898		0.10177506151672952	0.0004780389191325373	0.35841192723332566	3	1	adam	warmupinvsqrt	2	2048	1	640	34	True	5.519838469648142e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696583942/version_0	1	208	2	1	0.13900886326286563	True	128	128	67	34	1139100	2	LSTMEncoder	33		min	0.0004780389191325373	1	0.3333333333333333	4449	5	loss	0.10177506151672952	4	2	0.8732746243476868	1696586024.5478563	0.8726898431777954	936	3.478176698954841e-05	2073.268415212631	11231	415	0.9900000095367432	major-sweep-29
193	attentive_lstm	0.8956222945224825	0.9973517314803836		0.6158676703154603	0.000839225046030386	0.26323788529679487	3	1	adam	reduceonplateau	2	928	1	192	34	True	8.36827829566814e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696583502/version_0	1	304	2	1	0.06628628931761159	True	128	128	67	34	3099000	4	LSTMEncoder	33		min	0.000839225046030386	1	0.3333333333333333	0	5	loss	0.6158676703154603	4	4	0.4721119999885559	1696584756.7308738	0.4723649322986603	999	8.36827829566814e-05	1247.3214037418363	13319	443	0.9900000095367432	wild-sweep-28
194	attentive_lstm	0.9089923799375224	0.9919368585424332		0.6283712761604091	0.00023829490617179047	0.3195859666860749	3	1	adam	reduceonplateau	2	288	1	640	34	True	0.00016833887175190694	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696583039/version_0	1	432	1	1	0.0848633715621448	True	128	128	67	34	2418700	3	LSTMEncoder	33		min	0.00023829490617179047	1	0.3333333333333333	0	5	loss	0.6283712761604091	4	3	0.5785457491874695	1696584423.4108188	0.5750175714492798	585	0.00016833887175190694	1375.8353118896484	12479	259	0.9900000095367432	robust-sweep-27
195	attentive_lstm	0.8359809583242621	0.9858714699785276		0.10863091925378451	8.030054591258582e-05	0.03459536333821439	3	1	adam	warmupinvsqrt	2	624	1	576	34	True	3.724263841113354e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696582731/version_0	1	240	1	1	0.197824036144059	True	128	128	67	34	2597400	5	LSTMEncoder	33		min	8.030054591258582e-05	1	0.3333333333333333	12487	5	loss	0.10863091925378451	4	5	1.1648701429367063	1696585761.9086764	1.1621540784835815	1170	3.180012649121892e-05	3022.938018321991	17159	519	0.9900000095367432	vibrant-sweep-26
196	attentive_lstm	0.8907000276694736	0.9922866226302272		0.46575922810714143	0.0006180419365722719	0.34989524600042343	3	1	adam	warmupinvsqrt	2	880	1	1472	34	True	1.106378900803096e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696582471/version_0	1	192	2	1	0.14589588020867372	True	128	128	67	34	2157900	3	LSTMEncoder	33		min	0.0006180419365722719	1	0.3333333333333333	9808	5	loss	0.46575922810714143	4	3	0.90982985496521	1696597252.633218	0.9091255068778992	1260	8.19243907723923e-06	14773.821455955504	17919	559	0.9900000095367432	young-sweep-25
197	attentive_lstm	0.9267731216204456	0.9955724197948516		0.43009363416301494	0.0009843946557524642	0.15868969172861408	3	1	adam	reduceonplateau	2	1120	1	192	34	True	2.041377329310768e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696582080/version_0	1	304	1	1	0.10826429179929574	True	128	128	67	34	1775600	1	LSTMEncoder	33		min	0.0009843946557524642	1	0.3333333333333333	0	5	loss	0.43009363416301494	4	1	3.014596462249756	1696582716.6577306	2.108266115188598	459	2.041377329310768e-06	628.2003426551819	6323	203	0.0	fallen-sweep-24
198	attentive_lstm	0.94472037875546	0.9892405700178394		0.5320280687945486	0.0003942330893015726	0.014577066292816132	3	1	adam	reduceonplateau	2	1120	1	1152	34	True	9.556801733197415e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-haida/attentive_lstm/1696581961/version_0	1	16	2	1	0.1298924052659818	True	128	128	67	34	819000	4	LSTMEncoder	33		min	0.0003942330893015726	1	0.3333333333333333	0	5	loss	0.5320280687945486	4	4	0.8281131386756897	1696592761.8863475	0.8246248364448547	1440	9.556801733197415e-06	10794.114893436432	19839	639	0.9900000095367432	fresh-sweep-23
