	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
55	transformer	0.9551623274334992	0.9982639024552058		0.11755976699322472	0.0005184383277580236	0.22772330091054527	3	1	adam	reduceonplateau	2	320	1	1664	50	True	1.4157113011186e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695369135/version_0	8	432	4	4	0.17271198553947437	True	128	128	83	50	2593100	2	TransformerEncoder	33		min	0.0005184383277580236	1	0.3333333333333333	0	5	loss	0.11755976699322472	4	2	799	1.203819751739502	1695393688.6948109	1.1172137260437012	25599	1800	1.4157113011186e-05	24543.426779985428	0.9639999866485596	cool-sweep-173
56	transformer	0.8308266301523081	0.9941681881220346		0.42973743150673305	0.0005056947067958224	0.45663670312406746	3	1	adam	None	2	288	1	128	50	True	0.000698877079118595	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695368902/version_0	6	496	8	2	0.10217483076376832	True	128	128	83	50	4851000	2	TransformerEncoder	33		min	0.0005056947067958224	1	0.3333333333333333	0	5	loss	0.42973743150673305	4	2	799	0.8852633237838745	1695375624.274269	0.7359613180160522	27999	1800	0.000698877079118595	6711.703146457672	0.9679999947547911	quiet-sweep-172
57	transformer	0.81426359012167	0.9865981467787318		0.10904913247038248	0.0009160663636102434	0.06021747770800573	3	1	adam	warmupinvsqrt	2	192	1	1024	50	True	1.3546312437164672e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695368015/version_0	2	144	8	2	0.08842650121924962	True	128	128	83	50	724500	5	TransformerEncoder	33		min	0.0009160663636102434	1	0.3333333333333333	3773	5	loss	0.10904913247038248	4	5	799	0.8078168630599976	1695372191.644196	0.6681865453720093	42399	1800	4.0434601401744805e-06	4169.200775146484	0.921999990940094	misty-sweep-171
58	transformer	0.8923127781957017	0.982209431683364		0.3751376994179768	0.00027831686462310035	0.1736106035151782	3	1	adam	None	2	672	1	1408	50	True	5.087398250547059e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695367697/version_0	2	480	6	8	0.1976137538856697	True	128	128	83	50	358000	4	TransformerEncoder	33		min	0.00027831686462310035	1	0.3333333333333333	0	5	loss	0.3751376994179768	4	4	799	1.3783833980560305	1695373379.9540904	1.26527202129364	23999	1800	5.087398250547059e-06	5675.278071403503	0.9330000281333924	driven-sweep-170
59	transformer	0.8486178227441988	0.9824013549086624		0.43235523324329583	0.00016243190685482468	0.014160227976563244	3	1	adam	reduceonplateau	2	416	1	1664	50	True	1.2510749864440748e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695366983/version_0	8	176	2	2	0.0032238177940538517	True	128	128	83	50	2714500	4	TransformerEncoder	33		min	0.00016243190685482468	1	0.3333333333333333	0	5	loss	0.43235523324329583	4	4	799	0.29326874017715454	1695371086.9061997	0.03508324176073074	19999	1800	1.2510749864440748e-05	4096.498222351074	0.9359999895095824	floral-sweep-169
60	transformer	0.9302824987672196	0.9923464844386104		0.4486591559728514	0.000608270946579189	0.18795241196056975	3	1	adam	reduceonplateau	2	48	1	1088	50	True	3.556519993117892e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695366962/version_0	6	464	4	4	0.19049288862135572	True	128	128	83	50	3944800	1	TransformerEncoder	33		min	0.000608270946579189	1	0.3333333333333333	0	5	loss	0.4486591559728514	4	1	799	1.2706018686294556	1695375581.5885088	1.2138307094573977	167199	1800	3.556519993117892e-06	8612.082253932953	0.9639999866485596	fancy-sweep-168
61	transformer	0.8469899048739365	0.9884588410690178		0.5686135147525382	0.000103406443720931	0.47131585365842465	3	1	adam	warmupinvsqrt	2	1184	1	1472	50	True	0.0029540031090324152	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695366859/version_0	8	64	6	2	0.08976569757762426	True	128	128	83	50	1406800	1	TransformerEncoder	33		min	0.000103406443720931	1	0.3333333333333333	4752	5	loss	0.5686135147525382	4	1	799	0.839218020439148	1695370329.033773	0.6948904395103455	27199	1800	0.001235481696789109	3462.0256249904633	0.9449999928474426	generous-sweep-167
62	transformer	0.926629200537572	0.9902588532865344		0.14769032713015112	0.0008960339585117042	0.009826588718981231	3	1	adam	None	2	1824	1	1216	50	True	1.6945212637198117e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695366706/version_0	4	160	4	8	0.052857744032344514	True	128	128	83	50	3441400	3	TransformerEncoder	33		min	0.0008960339585117042	1	0.3333333333333333	0	5	loss	0.14769032713015112	4	3	647	0.5926339030265808	1695368888.7563047	0.4072373211383819	14255	1458	1.6945212637198117e-05	2175.789226770401	0.9300000071525574	comfy-sweep-166
63	transformer	0.8506866298257462	0.9877982359762796		0.7603057786401178	0.00043847745435661624	0.4428534588890404	3	1	adam	reduceonplateau	2	1312	1	1280	50	True	5.2017450261671135e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695366587/version_0	6	176	2	8	0.0023797599795144066	True	128	128	83	50	53900	2	TransformerEncoder	33		min	0.00043847745435661624	1	0.3333333333333333	0	5	loss	0.7603057786401178	4	2	799	0.30666619539260864	1695373500.5812123	0.06394774466753006	24799	1800	5.2017450261671135e-05	6906.070461511612	0.9430000185966492	wise-sweep-165
64	transformer	0.9588986132586268	0.9831716087541542		0.14261481420382013	0.0004576433229832803	0.008372234631268516	3	1	adam	None	2	1424	1	1728	50	True	4.746298407285969e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695364061/version_0	2	512	8	8	0.15695929450377233	True	128	128	83	50	4889700	2	TransformerEncoder	33		min	0.0004576433229832803	1	0.3333333333333333	0	5	loss	0.14261481420382013	4	2	715	1.124894618988037	1695370083.555295	1.0292500257492063	20763	1611	4.746298407285969e-06	6015.259073019028	0.9459999799728394	curious-sweep-164
