	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	val_loss	_timestamp	_step	lr-Adam	_runtime	trainer/global_step	epoch	train_loss	max_val_accuracy	name
157	attentive_lstm	0.8393349874915216	0.9889559763337734		0.24214040385728605	0.0009064326677257208	0.2453296039304256	3	1	adam	reduceonplateau	2	704	1	1088	33	True	8.857699316889109e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694784001/version_0	1	112	1	1	0.049149282299613975	True	128	128	64	33	236200	3	LSTMEncoder	31		min	0.0009064326677257208	1	0.3333333333333333	0	5	loss	0.24214040385728605	4	3	0.3771476149559021	1694820575.551646	1800	8.857699316889109e-06	36567.276206970215	23199	799	0.3727875053882599	0.9929999709129332	efficient-sweep-72
158	attentive_lstm	0.8386494106917946	0.9914913258314922		0.7632241132254272	0.00023880471317527064	0.2064129431270807	3	1	adam	None	2	512	1	704	33	True	0.0012629971491386924	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694783634/version_0	1	400	2	1	0.06918710120851668	True	128	128	64	33	4509000	3	LSTMEncoder	31		min	0.00023880471317527064	1	0.3333333333333333	0	5	loss	0.7632241132254272	4	3	0.48064297437667847	1694786604.5672605	504	0.0012629971491386924	2962.6412405967712	4479	223	0.480497807264328	0.996999979019165	chocolate-sweep-71
159	attentive_lstm	0.971158381878126	0.9839411463726756		0.8677916193439844	0.0008480140972926187	0.442289084854344	3	1	adam	None	2	1872	1	1984	33	True	0.0003415056755393196	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694780527/version_0	1	48	1	1	0.11469444436566208	True	128	128	64	33	4010900	4	LSTMEncoder	31		min	0.0008480140972926187	1	0.3333333333333333	0	5	loss	0.8677916193439844	4	4	0.7364864349365234	1694791877.061306	621	0.0003415056755393196	11341.152539014816	6071	275	0.7378256320953369	0.996999979019165	eager-sweep-70
160	attentive_lstm	0.8310452536481777	0.986027381590188		0.31654092867040173	0.000276775244108377	0.17447164333474596	3	1	adam	reduceonplateau	2	1952	1	1920	33	True	5.2403528537120794e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694779746/version_0	1	112	2	1	0.10547331944357292	True	128	128	64	33	1157300	2	LSTMEncoder	31		min	0.000276775244108377	1	0.3333333333333333	0	5	loss	0.31654092867040173	4	2	0.6856024265289307	1694814280.8187895	1800	5.2403528537120794e-05	34526.99551773071	16799	799	0.6857233643531799	0.996999979019165	vibrant-sweep-69
161	attentive_lstm	0.9208145012223488	0.9828768302118084		0.589034650756059	0.00018367691661344692	0.3711197414366583	3	1	adam	warmupinvsqrt	2	576	1	1664	33	True	6.300008167725402e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694779146/version_0	1	80	2	1	0.14950486572885494	True	128	128	64	33	344200	3	LSTMEncoder	31		min	0.00018367691661344692	1	0.3333333333333333	1195	5	loss	0.589034650756059	4	3	0.9892042279243468	1694809199.1210625	1800	1.3023198295235102e-06	30046.316234588623	27999	799	1.028040647506714	0.9509999752044678	different-sweep-68
162	attentive_lstm	0.8305032469007883	0.9836240812244188		0.5880805481733353	0.0009278167259973656	0.07743730857264414	3	1	adam	warmupinvsqrt	2	1952	1	1920	33	True	5.346709289276266e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694778185/version_0	1	464	1	1	0.08298198759012165	True	128	128	64	33	901300	2	LSTMEncoder	31		min	0.0009278167259973656	1	0.3333333333333333	1846	5	loss	0.5880805481733353	4	2	0.5598857402801514	1694804408.8150609	1557	1.9070134171572865e-05	26215.29652786255	14531	691	0.559394359588623	0.9980000257492064	jumping-sweep-67
163	attentive_lstm	0.9913531619064434	0.9815986501253942		0.3371804330285981	0.0006004813442657865	0.2572059781732907	3	1	adam	None	2	1792	1	704	33	True	1.902511267600963e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694775338/version_0	1	464	2	1	0.15728644610413095	True	128	128	64	33	100500	4	LSTMEncoder	31		min	0.0006004813442657865	1	0.3333333333333333	0	5	loss	0.3371804330285981	4	4	0.9600430727005004	1694784123.9655194	1512	1.902511267600963e-05	8779.196085453033	15455	671	0.961309552192688	0.9980000257492064	colorful-sweep-66
164	attentive_lstm	0.9594974324171128	0.9902424043615742		0.8539833584657237	0.0002309609103040605	0.3931579879335327	3	1	adam	None	2	1872	1	1152	33	True	6.438209447646684e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694774784/version_0	1	208	2	1	0.03878065214056288	True	128	128	64	33	3835600	4	LSTMEncoder	31		min	0.0002309609103040605	1	0.3333333333333333	0	5	loss	0.8539833584657237	4	4	0.30249375104904175	1694789192.208993	1800	6.438209447646684e-06	14400.763699054718	17599	799	0.3043568432331085	0.9940000176429749	splendid-sweep-65
165	attentive_lstm	0.8079293693187919	0.9900673943276788		0.6040643005475985	0.0005477312072426055	0.020842658648617007	3	1	adam	reduceonplateau	2	496	1	704	33	True	3.117839703040169e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694774441/version_0	1	304	1	1	0.01570486540360767	True	128	128	64	33	2200400	5	LSTMEncoder	31		min	0.0005477312072426055	1	0.3333333333333333	0	5	loss	0.6040643005475985	4	5	0.13647623360157013	1694779730.450282	1584	3.117839703040169e-05	5281.760955095291	14783	703	0.13240203261375427	0.9980000257492064	prime-sweep-64
166	attentive_lstm	0.944621088383205	0.9987795251588012		0.3115913952256272	0.0008735041786651944	0.3173485382278891	3	1	adam	reduceonplateau	2	544	1	640	33	True	4.552160980385791e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-albanian/attentive_lstm/1694774202/version_0	1	64	2	1	0.00029023779515424675	True	128	128	64	33	326700	3	LSTMEncoder	31		min	0.0008735041786651944	1	0.3333333333333333	0	5	loss	0.3115913952256272	4	3	0.05867547169327736	1694780498.1880927	1800	4.552160980385791e-06	6283.96485376358	29599	799	0.06696100533008575	0.9520000219345092	denim-sweep-63
