	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	train_loss	trainer/global_step	_runtime	_timestamp	lr-Adam	val_loss	_step	epoch	max_val_accuracy	name
0	transformer	0.9664587382193982	0.9927903783483168		0.2828583316850926	0.0006439876004095826	0.412288180205414	3	1	adam	None	2	352	1	512	59	True	0.00472777620979122	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697157756/version_0	8	128	2	4	0.06656475327120868	True	128	128	98	59	3302900	2	TransformerEncoder	39		min	0.0006439876004095826	1	0.3333333333333333	0	5	loss	0.2828583316850926	4	2	2.3446009159088135	16871	2006.193702697754	1697159773.9509528	0.00472777620979122	3.897430181503296	666	295	0.5049999952316284	sunny-sweep-220
1	transformer	0.9745680324787772	0.9958159227125924		0.7324826860480321	0.0008356315984475796	0.15206239068078037	3	1	adam	reduceonplateau	2	1648	1	1280	59	True	1.5718131764007127e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697157358/version_0	6	416	2	8	0.0016154175507892222	True	128	128	98	59	2461600	1	TransformerEncoder	39		min	0.0008356315984475796	1	0.3333333333333333	0	5	loss	0.7324826860480321	4	1	0.12850452959537506	39199	6307.895424365997	1697163677.2560065	1.5718131764007127e-06	0.6636730432510376	1800	799	0.8009999990463257	wild-sweep-219
2	transformer	0.9319493809051432	0.9979195755119132		0.8744777159228442	0.00018837808686801772	0.3694957445548912	3	1	adam	None	2	560	1	64	59	True	0.002028944977432864	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697028196/version_0	4	32	4	8	0.18679771058751665	True	128	128	98	59	2145300	2	TransformerEncoder	39		min	0.00018837808686801772	1	0.3333333333333333	0	5	loss	0.8744777159228442	4	2	1.7293018102645874	57599	4656.623480319977	1697032863.0815094	0.002028944977432864	2.131958246231079	1800	799	0.4269999861717224	smart-sweep-217
3	transformer	0.8346178763143663	0.9820324133551156		0.7603234277112569	0.0006601215987240871	0.3110337779762983	3	1	adam	warmupinvsqrt	2	704	1	448	59	True	2.0693684590203767e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697027708/version_0	6	64	4	2	0.08567748655434813	True	128	128	98	59	4187800	3	TransformerEncoder	39		min	0.0006601215987240871	1	0.3333333333333333	23794	5	loss	0.7603234277112569	4	3	3.335958957672119	11627	973.800889968872	1697028690.760979	1.0063319508836168e-06	3.372490644454956	459	203	0.0	cerulean-sweep-216
4	transformer	0.8106539321705218	0.9880163616643148		0.7716580012232441	0.0006264418118117908	0.4654170040738244	3	1	adam	reduceonplateau	2	592	1	896	59	True	9.400247316399652e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697027619/version_0	8	96	6	2	0.140662152170921	True	128	128	98	59	2822800	4	TransformerEncoder	39		min	0.0006264418118117908	1	0.3333333333333333	0	5	loss	0.7716580012232441	4	4	1.0535016059875488	54399	5730.3496379852295	1697033360.876633	9.400247316399652e-05	1.3308050632476809	1800	799	0.8309999704360962	gallant-sweep-215
5	transformer	0.8713593726280318	0.9801853198362542		0.8557769468018565	0.00014474277410535434	0.4807403365490429	3	1	adam	warmupinvsqrt	2	1760	1	1664	59	True	1.1188630710774428e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697027576/version_0	8	112	4	2	0.11947543464821844	True	128	128	98	59	4312200	1	TransformerEncoder	39		min	0.00014474277410535434	1	0.3333333333333333	19600	5	loss	0.8557769468018565	4	1	2.579296827316284	9383	1465.6807699203491	1697029048.6081848	5.330583345776103e-06	3.5236778259277344	459	203	0.0	celestial-sweep-214
6	transformer	0.9439735787591964	0.9944427890297906		0.8583434382469085	0.0006915426145535648	0.1573831195278097	3	1	adam	None	2	336	1	192	59	True	9.692811242550185e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697027452/version_0	8	224	8	8	0.06842450236143023	True	128	128	98	59	1644700	5	TransformerEncoder	39		min	0.0006915426145535648	1	0.3333333333333333	0	5	loss	0.8583434382469085	4	5	0.5529890060424805	47999	7265.43399643898	1697034727.1362724	9.692811242550185e-06	0.7369915843009949	1800	799	0.902999997138977	sage-sweep-213
7	transformer	0.9105336874635656	0.9831519774667928		0.577536427083759	0.0005782076315509816	0.36265422011822174	3	1	adam	reduceonplateau	2	944	1	2048	59	True	6.590446100357996e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697027325/version_0	8	272	8	8	0.005810646680672838	True	128	128	98	59	852200	2	TransformerEncoder	39		min	0.0005782076315509816	1	0.3333333333333333	0	5	loss	0.577536427083759	4	2	0.16391026973724365	34399	7137.450625419617	1697034471.3997924	6.590446100357996e-06	0.680449366569519	1800	799	0.8489999771118164	vocal-sweep-212
8	transformer	0.8306120387791274	0.99406824465144		0.8496791427537809	0.0007256488123180463	0.32908088206356617	3	1	adam	warmupinvsqrt	2	736	1	1984	59	True	4.811119122508483e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697027279/version_0	6	320	8	8	0.19377666170783425	True	128	128	98	59	4751100	4	TransformerEncoder	39		min	0.0007256488123180463	1	0.3333333333333333	25821	5	loss	0.8496791427537809	4	4	1.2676512002944946	43999	6668.763732433319	1697033956.3529484	3.687889539867367e-05	1.4286460876464844	1800	799	0.9330000281333924	laced-sweep-211
9	transformer	0.956742708890944	0.9880932276981648		0.545883301182283	0.0006360870246397076	0.004415914366047491	3	1	adam	warmupinvsqrt	2	32	1	1856	59	True	0.0027409417045654747	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-irish/transformer/1697026804/version_0	6	352	6	8	0.1537207525249924	True	128	128	98	59	4705700	4	TransformerEncoder	39		min	0.0006360870246397076	1	0.3333333333333333	147053	5	loss	0.545883301182283	4	4	1.1951836347579956	81379	4364.507731676102	1697031176.1469936	0.0015110193002795546	1.7948321104049685	585	259	0.8769999742507935	smooth-sweep-210
