	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	lr-Adam	_timestamp	epoch	val_loss	train_loss	trainer/global_step	_step	_runtime	max_val_accuracy	name
0	attentive_lstm	0.9042554570792516	0.9802796432784432		0.14560822129620662	0.0002484386350688389	0.47440228438904175	3	1	adam	warmupinvsqrt	2	1888	1	1088	59	True	0.0002910937792404113	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694257496/version_0	1	336	1	1	0.03675939410478313	True	128	128	82	59	1588700	1	LSTMEncoder	23		min	0.0002484386350688389	1	0.3333333333333333	3365	5	loss	0.14560822129620662	4	1	0.00014660725500746405	1694265362.794086	603	0.351584792137146	0.3048272728919983	13287	1359	7853.828618049622	0.9819999933242798	glowing-sweep-248
1	attentive_lstm	0.896176178257862	0.9810863265476812		0.7140452165569974	0.0007524875545152955	0.04457689595709491	3	1	adam	reduceonplateau	2	1488	1	1856	59	True	9.20915643468897e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694250267/version_0	1	384	2	1	0.19879103410187549	True	128	128	82	59	1980600	4	LSTMEncoder	23		min	0.0007524875545152955	1	0.3333333333333333	0	5	loss	0.7140452165569974	4	4	9.20915643468897e-05	1694266938.315806	431	1.3036553859710691	1.287930607795715	9071	972	16660.460187911987	0.977999985218048	soft-sweep-247
2	attentive_lstm	0.9025434899686314	0.9910481183258116		0.12059763246635571	0.00023635636466439415	0.3657265995726573	3	1	adam	reduceonplateau	2	1520	1	2048	59	True	0.0053711916736644645	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694246640/version_0	1	304	1	1	0.15795413136964173	True	128	128	82	59	3660900	5	LSTMEncoder	23		min	0.00023635636466439415	1	0.3333333333333333	0	5	loss	0.12059763246635571	4	5	0.00023635636466439415	1694257475.5678933	291	1.0988805294036863	1.0681904554367063	7883	657	10825.892679214478	0.975000023841858	generous-sweep-246
3	attentive_lstm	0.8126556692838391	0.9869081607016622		0.5249615624114734	0.0004530194792716559	0.2928444992392824	3	1	adam	None	2	1472	1	896	59	True	1.0565080777328484e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694239744/version_0	1	256	1	1	0.06585571784370488	True	128	128	82	59	251000	1	LSTMEncoder	23		min	0.0004530194792716559	1	0.3333333333333333	0	5	loss	0.5249615624114734	4	1	1.0565080777328484e-05	1694246620.6434035	727	0.5616637468338013	0.516672670841217	20383	1638	6868.023805618286	0.9729999899864196	helpful-sweep-245
4	attentive_lstm	0.9490439150014756	0.98616226701547		0.46890796644176913	0.0009849721196054455	0.24815141521628736	3	1	adam	reduceonplateau	2	192	1	768	59	True	1.366207993398193e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694233409/version_0	1	336	1	1	0.03270244644051872	True	128	128	82	59	4174300	3	LSTMEncoder	23		min	0.0009849721196054455	1	0.3333333333333333	0	5	loss	0.46890796644176913	4	3	1.366207993398193e-06	1694239726.21494	799	0.4041632115840912	0.3282638192176819	42399	1800	6310.490643024445	0.9210000038146972	dark-sweep-244
5	attentive_lstm	0.9407502675628188	0.9923177888692		0.2097827839512877	0.00015711941064342145	0.04756520578076018	3	1	adam	None	2	304	1	1792	59	True	9.025617053861956e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694233288/version_0	1	400	1	1	0.027770040488726735	True	128	128	82	59	214100	1	LSTMEncoder	23		min	0.00015711941064342145	1	0.3333333333333333	0	5	loss	0.2097827839512877	4	1	9.025617053861956e-06	1694258496.0176618	799	0.29314854741096497	0.23702417314052585	26399	1800	25201.172796726227	0.9710000157356262	woven-sweep-243
6	attentive_lstm	0.8425257992918612	0.998691390090695		0.22160314036774437	0.00021941874151039769	0.13846172926908443	3	1	adam	warmupinvsqrt	2	448	1	192	59	True	0.0005143830140551459	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694232473/version_0	1	384	1	1	0.12101700189184256	True	128	128	82	59	1213400	3	LSTMEncoder	23		min	0.00021941874151039769	1	0.3333333333333333	2708	5	loss	0.22160314036774437	4	3	0.0002822660541363304	1694233394.482346	391	0.8954669237136841	0.8564788103103638	9015	882	913.5442810058594	0.9710000157356262	comic-sweep-242
7	attentive_lstm	0.8562207857918884	0.9872072851358988		0.45544115854169254	0.0008919836763142384	0.012284395653687552	3	1	adam	reduceonplateau	2	1152	1	2048	59	True	0.0011418372370480465	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694228137/version_0	1	224	1	1	0.16348781314423855	True	128	128	82	59	3697700	3	LSTMEncoder	23		min	0.0008919836763142384	1	0.3333333333333333	0	5	loss	0.45544115854169254	4	3	0.0008919836763142384	1694250244.1659284	607	1.1393094062805176	1.0937663316726685	16415	1368	22099.579377412796	0.9789999723434448	ruby-sweep-241
8	attentive_lstm	0.8182815523816556	0.9948612824979988		0.5656341120848919	0.0002813684314814784	0.4974294560037464	3	1	adam	None	2	960	1	768	59	True	0.00012826654005397396	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694227787/version_0	1	336	2	1	0.07511585662426859	True	128	128	82	59	699900	4	LSTMEncoder	23		min	0.0002813684314814784	1	0.3333333333333333	0	5	loss	0.5656341120848919	4	4	0.00012826654005397396	1694232454.830156	535	0.6001047492027283	0.5712090134620667	11255	1206	4660.073295116425	0.9769999980926514	northern-sweep-240
9	attentive_lstm	0.8564183726440998	0.9907433720407236		0.10765715904231882	0.0009118962039857744	0.43710892504404886	3	1	adam	None	2	1712	1	896	59	True	1.607713208011208e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-dutch/attentive_lstm/1694225494/version_0	1	48	1	1	0.07721789993598399	True	128	128	82	59	2284400	2	LSTMEncoder	23		min	0.0009118962039857744	1	0.3333333333333333	0	5	loss	0.10765715904231882	4	2	1.607713208011208e-05	1694233265.2878172	799	0.6585515141487122	0.6338418126106262	19199	1800	7764.2363822460175	0.9629999995231628	clean-sweep-239
